 · «%s»: владелец + 	 · «%s»: egasi + 
Неизвестная ошибка	Noma’lum xatolik
Необязательно	Majburiy emas
Непогашенные долги	To‘lanmagan qarzlar
Непогашенных долгов за период нет 🎉	Davr uchun to‘lanmagan qarzlar yo‘q 🎉
Нет в наличии	Mavjud emas
Нет данных за период.	Davr uchun ma’lumot yo‘q.
Нет долгов за выбранный период.	Tanlangan davr uchun qarzlar yo‘q.
Нет доступа к Bluetooth. Разрешите его в настройках телефона.	Bluetooth ruxsati yo‘q. Uni telefon sozlamalarida ruxsat bering.
Нет доступа к долгам	Qarzlarga ruxsat yo‘q
Нет доступа к истории продаж	Sotuvlar tarixiga ruxsat yo‘q
Нет доступа к камере. Разрешите её в настройках телефона.	Kameraga ruxsat yo‘q. Uni telefon sozlamalarida ruxsat bering.
Нет доступа к расходам	Xarajatlarga ruxsat yo‘q
Нет доступа к этому разделу	Bu bo‘limga ruxsat yo‘q
Нет доступа.	Ruxsat yo‘q.
Нет права на возвраты	Qaytarishlarga huquq yo‘q
Нет права на изменение товаров	Mahsulotlarni o‘zgartirishga huquq yo‘q
Нет права на инвентаризацию	Inventarizatsiyaga huquq yo‘q
Нет права на приход	Tovar qabul qilishga huquq yo‘q
Нет права на расходы	Xarajatlarga huquq yo‘q
Нет соединения с сервером. Проверьте интернет.	Server bilan aloqa yo‘q. Internetni tekshiring.
Нечего печатать: не выбран ни один товар	Chop etishga narsa yo‘q: birorta mahsulot tanlanmagan
Никого не нашлось	Hech kim topilmadi
Ничего не найдено	Hech narsa topilmadi
Ничего не найдено.	Hech narsa topilmadi.
Ничего не найдено. Проверьте название или штрихкод.	Hech narsa topilmadi. Nomi yoki shtrix-kodni tekshiring.
Ничего не отмечено	Hech narsa belgilanmagan
Новая инвентаризация	Yangi inventarizatsiya
Новая категория	Yangi kategoriya
Новые	Yangilar
Новые заказы	Yangi buyurtmalar
Новые заказы с онлайн-витрины	Onlayn vitrinadan yangi buyurtmalar
Новый	Yangi
Новый возврат	Yangi qaytarish
Новый клиент	Yangi mijoz
Новый ключ выпущен — передайте его сотруднику	Yangi kalit chiqarildi — uni xodimga bering
Новый код	Yangi kod
Новый пароль	Yangi parol
Новый пароль (минимум 6 символов)	Yangi parol (kamida 6 belgi)
Новый поставщик	Yangi yetkazib beruvchi
Новый приход	Yangi kirim
Новый расход	Yangi xarajat
Новый сотрудник	Yangi xodim
Новый товар	Yangi mahsulot
Новый штрихкод	Yangi shtrix-kod
Новых заказов нет	Yangi buyurtmalar yo‘q
Номер накладной	Yuk xati raqami
Номер чека	Chek raqami
Обновите FonRo	FonRo ni yangilang
Обновить	Yangilash
Оборот по приходам	Kirimlar bo‘yicha aylanma
Общий долг	Umumiy qarz
Объём	Hajm
Один ключ доступа работает на ограниченном числе устройств. Отвязка освобождает слот: на отвязанном телефоне вход перестанет работать сразу, а на этом останется как есть.	Bitta kirish kaliti cheklangan sondagi qurilmada ishlaydi. Uzish uyani bo‘shatadi: uzilgan telefonda kirish darhol ishlamay qoladi, bunisida esa avvalgidek qoladi.
Онлайн	Onlayn
Онлайн-магазин	Onlayn-do‘kon
Описание для покупателей	Xaridorlar uchun tavsif
Опишите вопрос или проблему — ответим прямо здесь. Переписку видите только вы и поддержка.	Savol yoki muammoni yozing — shu yerda javob beramiz. Yozishmani faqat siz va qo‘llab-quvvatlash xizmati ko‘radi.
Оплат ещё не было	Hali to‘lovlar bo‘lmagan
Оплата	To‘lov
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту и нажмите ещё раз.	To‘lov hali tasdiqlanmagan. Agar endigina to‘lagan bo‘lsangiz — bir daqiqa kuting va yana bosing.
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту.	To‘lov hali tasdiqlanmagan. Agar endigina to‘lagan bo‘lsangiz — bir daqiqa kuting.
Оплачен	To‘langan
Оплачено	To‘landi
Оплачено 	To‘landi 
Оплачено поставщику	Yetkazib beruvchiga to‘landi
Оплачено:	To‘landi:
Основной штрихкод	Asosiy shtrix-kod
Осталось	Qoldi
Останется долг:	Qarz qoladi:
Остаток	Qoldiq
Остаток %s %s	Qoldiq %s %s
Остаток ≤ %s · 	Qoldiq ≤ %s · 
Остаток, шт	Qoldiq, dona
Остаток: %s %s	Qoldiq: %s %s
Ответ на отзыв	Sharhga javob
Ответ покупателю	Xaridorga javob
Ответ сохранён	Javob saqlandi
Ответы службы поддержки	Qo‘llab-quvvatlash xizmati javoblari
Отвязать	Uzish
Отвязать устройство?	Qurilma uzilsinmi?
Отзывов пока нет	Hozircha sharhlar yo‘q
Отключить принтер	Printerni o‘chirish
Отключён	O‘chirilgan
Открыт	Ochiq
Открытый	Ochiq
Открытых долгов нет 🎉	Ochiq qarzlar yo‘q 🎉
Открыть чек	Chekni ochish
Отложенная отправка	Kechiktirilgan yuborish
Отложенные чеки	Kechiktirilgan cheklar
Отложенные чеки отправлены	Kechiktirilgan cheklar yuborildi
Отложенных чеков нет	Kechiktirilgan cheklar yo‘q
Отложить чек	Chekni kechiktirish
Отмена	Bekor qilish
Отменить	Bekor qilish
Отменить заказ	Buyurtmani bekor qilish
Отменить заказ?	Buyurtma bekor qilinsinmi?
Отменить подписку	Obunani bekor qilish
Отменить подписку?	Obuna bekor qilinsinmi?
Отменить расход	Xarajatni bekor qilish
Отменить расход?	Xarajat bekor qilinsinmi?
Отменить списание	Hisobdan chiqarishni bekor qilish
Отменить списание?	Hisobdan chiqarish bekor qilinsinmi?
Отменён	Bekor qilingan
Отменённые	Bekor qilinganlar
Отметьте «Верно» или внесите фактический остаток.	«To‘g‘ri» ni belgilang yoki haqiqiy qoldiqni kiriting.
Отметьте хотя бы один товар	Kamida bitta mahsulotni belgilang
Отмечено · %s из %s	Belgilandi · %s / %s
Отмечено: 	Belgilandi: 
Отправить	Yuborish
Отправить код ещё раз	Kodni qayta yuborish
Отправить сейчас	Hozir yuborish
Отправка отложенных чеков	Kechiktirilgan cheklarni yuborish
Отправлено: 	Yuborildi: 
Отправляем код…	Kod yuborilmoqda…
Отправляем…	Yuborilmoqda…
Отсканированные товары	Skanerlangan mahsulotlar
Оформить подписку	Obuna bo‘lish
Оформление кассы на этом устройстве. На печать чеков и этикеток не влияет.	Bu qurilmadagi kassa ko‘rinishi. Chek va etiketkalar chop etilishiga ta’sir qilmaydi.
Оформление локальной продажи	Lokal sotuvni rasmiylashtirish
Очередь пуста — ни одна продажа не потерялась.	Navbat bo‘sh — birorta sotuv yo‘qolmadi.
Очистить	Tozalash
Очистить чек?	Chek tozalansinmi?
Ошибка	Xatolik
Ошибка сервера (%s)	Server xatosi (%s)
Пара слов о магазине	Do‘kon haqida ikki og‘iz so‘z
Параметр 1	Parametr 1
Параметр 2	Parametr 2
Пароли не совпадают.	Parollar mos kelmadi.
Пароль	Parol
Пароль (минимум 6 символов)	Parol (kamida 6 ta belgi)
Пароль должен быть минимум 6 символов.	Parol kamida 6 ta belgidan iborat bo‘lishi kerak.
Пароль обновлён. Войдите с новым паролем.	Parol yangilandi. Yangi parol bilan kiring.
Первичная оплата	Dastlabki to‘lov
Перевыпустить ключ	Kalitni qayta chiqarish
Перенос заказа очистит корзину и положит в неё товары заказа.	Buyurtmani ko‘chirish savatni tozalaydi va unga buyurtma mahsulotlarini soladi.
Переносить нечего: этих товаров нет в каталоге или нет на складе	Ko‘chirish uchun hech nima yo‘q: bu mahsulotlar katalogda yoki omborda yo‘q
Печатаем…	Chop etilmoqda…
Печатать чек сразу после продажи	Sotuvdan keyin chekni darhol chop etish
Печать	Chop etish
Печать доступна только при открытом приложении	Chop etish faqat ilova ochiq bo‘lganda ishlaydi
Печать штрихкодов	Shtrix-kodlarni chop etish
По количеству	Miqdor bo‘yicha
По ней считается, сколько знаков влезает в строку чека	Chek qatoriga nechta belgi sig‘ishi shu bo‘yicha hisoblanadi
По одной	Bittadan
По сумме	Summa bo‘yicha
По этой позиции возвращать нечего	Bu pozitsiya bo‘yicha qaytaradigan narsa yo‘q
Повторите пароль	Parolni takrorlang
Повторить	Takrorlash
Погашение долга	Qarzni yopish
Погашений долга не было.	Qarz yopilishi bo‘lmagan.
Погашено	Yopilgan
Подарок от FonRo	FonRo’dan sovg‘a
Поддержка	Qo‘llab-quvvatlash
Поддержка FonRo	FonRo qo‘llab-quvvatlash xizmati
Поделитесь ссылкой магазина с покупателями.	Do‘kon havolasini xaridorlar bilan ulashing.
Поделиться ссылкой	Havolani ulashish
Подписка активна	Obuna faol
Подписка активна. Спасибо!	Obuna faol. Rahmat!
Подписка возобновлена	Obuna tiklandi
Подписка отменена	Obuna bekor qilindi
Подписка отменена. Доступ — до конца периода.	Obuna bekor qilindi. Kirish — davr oxirigacha.
Подпиской магазина распоряжается владелец.	Do‘kon obunasini egasi boshqaradi.
Подтвердить	Tasdiqlash
Подтверждён	Tasdiqlangan
Подытог	Oraliq summa
Позиции не переданы сервером.	Pozitsiyalarni server yubormadi.
Позиции проверки	Tekshiruv pozitsiyalari
Позиции чека	Chek pozitsiyalari
Позиций	Pozitsiya
Позиций: %s	Pozitsiya: %s
Позиций: %s. Разница %s 	Pozitsiya: %s. Farq %s 
Поиск	Qidiruv
Поиск в каталоге…	Katalogdan qidirish…
Поиск клиента	Mijozni qidirish
Поиск по долгам	Qarzlar bo‘yicha qidiruv
Поиск по имени или телефону	Ism yoki telefon bo‘yicha qidiruv
Поиск по названию, телефону или заметке	Nom, telefon yoki izoh bo‘yicha qidiruv
Поиск среди выбранных	Tanlanganlar orasidan qidirish
Поиск товара или кода	Mahsulot yoki kodni qidirish
Поиск товара, артикула или кода	Mahsulot, artikul yoki kodni qidirish
Поиск товара, кода или артикула	Mahsulot, kod yoki artikulni qidirish
Поиск товара, штрихкод	Mahsulot qidirish, shtrix-kod
Пока не получилось. Чеки останутся в очереди и уйдут сами, как только появится связь.	Hozircha bo‘lmadi. Cheklar navbatda qoladi va aloqa paydo bo‘lishi bilan o‘zi jo‘naydi.
Показаны первые %s из %s — уточните поиск.	Birinchi %s ta ko‘rsatildi (jami %s) — qidiruvni aniqlashtiring.
Показаны последние %s из %s —	Oxirgi %s ta ko‘rsatildi (jami %s) —
Показатели магазина скрыты правами доступа.	Do‘kon ko‘rsatkichlari kirish huquqlari bilan yashirilgan.
Показать	Ko‘rsatish
Показать ещё (%s)	Yana ko‘rsatish (%s)
Показать товары категории	Kategoriya mahsulotlarini ko‘rsatish
Покупатели смогут оставлять отзывы на витрине.	Xaridorlar vitrinada sharh qoldira oladi.
Покупатели увидят все цены на витрине в этой валюте.	Xaridorlar vitrinadagi barcha narxlarni shu valyutada ko‘radi.
Покупатели увидят это на странице «О магазине» витрины вместе с адресом, телефоном и отзывами.	Xaridorlar buni vitrinaning «Do‘kon haqida» sahifasida manzil, telefon va sharhlar bilan birga ko‘radi.
Покупатель	Xaridor
Покупатель увидит отмену заказа %s. 	Xaridor %s buyurtma bekor qilinganini ko‘radi. 
Покупки в долг	Qarzga xaridlar
Покупок у этого клиента ещё не было.	Bu mijozda hali xaridlar bo‘lmagan.
Политика конфиденциальности	Maxfiylik siyosati
Полный возврат	To‘liq qaytarish
Полный доступ	To‘liq kirish
Получено	Olindi
Получено долгов	Olingan qarzlar
Получено меньше суммы чека	Chek summasidan kam olindi
Получено наличными	Naqd olindi
Получено:	Olindi:
Получить код	Kodni olish
Порог «мало на складе»	«Omborda kam» chegarasi
Порог сохранён: %s шт	Chegara saqlandi: %s dona
Порча, бой, просрочка — товар уходит со склада	Buzilish, siniq, muddati o‘tishi — mahsulot ombordan chiqadi
После создания сотрудник получит ключ доступа — по нему он войдёт в приложение на своём телефоне.	Yaratilgandan keyin xodim kirish kalitini oladi — u bilan o‘z telefonidagi ilovaga kiradi.
Поставщик	Yetkazib beruvchi
Поставщик добавлен	Yetkazib beruvchi qo‘shildi
Поставщик:	Yetkazib beruvchi:
Поставщики	Yetkazib beruvchilar
Поставщики и оборот по приходам	Yetkazib beruvchilar va kirim aylanmasi
Поставщиков	Yetkazib beruvchilar
Поставщиков в справочнике	Ma’lumotnomadagi yetkazib beruvchilar
Поставщиков нет — добавьте их в разделе «Поставщики».	Yetkazib beruvchilar yo‘q — ularni «Yetkazib beruvchilar» bo‘limida qo‘shing.
Поставщиков пока нет — добавьте первого.	Hozircha yetkazib beruvchilar yo‘q — birinchisini qo‘shing.
Почему чек здесь	Chek nega bu yerda
Прав выдано	Berilgan huquqlar
Права доступа	Kirish huquqlari
Права не выданы.	Huquqlar berilmagan.
Права обновлены	Huquqlar yangilandi
Правовая информация	Huquqiy ma’lumot
Премиум активен. Спасибо!	Premium faol. Rahmat!
Прибыль	Foyda
Прибыль %s	Foyda %s
Прибыль по дням	Kunlar bo‘yicha foyda
Прибыль по часам	Soatlar bo‘yicha foyda
Прибыль после расходов	Xarajatlardan keyingi foyda
Приложение	Ilova
Применить	Qo‘llash
Принимаем…	Qabul qilinmoqda…
Принтер	Printer
Принтер «%s» выбран	«%s» printeri tanlandi
Принтер выбран неверно. Выберите его заново.	Printer noto‘g‘ri tanlangan. Uni qaytadan tanlang.
Принтер не отвечает. Проверьте, включён ли он и рядом ли.	Printer javob bermayapti. U yoqilganini va yaqinligini tekshiring.
Принтер отключён. Чеки пойдут в системную печать.	Printer o‘chirilgan. Cheklar tizimli chop etishga yuboriladi.
Принтер чеков	Chek printeri
Принял	Qabul qildi
Принял: %s	Qabul qildi: %s
Принято. Остаток: %s	Qabul qilindi. Qoldiq: %s
Принято: %s	Qabul qilindi: %s
Принять	Qabul qilish
Принять:	Qabul qilish:
Приход	Kirim
Приход · 	Kirim · 
Приход без привязки к контрагенту	Kontragentga bog‘lanmagan kirim
Приход доступен сотрудникам с правом «Приход».	Kirim «Kirim» huquqiga ega xodimlarga ochiq.
Приход не проведён	Kirim o‘tkazilmadi
Приход недоступен	Kirim mavjud emas
Приход проведён	Kirim o‘tkazildi
Приходов	Kirimlar
Приходов от этого поставщика ещё не было.	Bu yetkazib beruvchidan hali kirim bo‘lmagan.
Приходов по этому товару нет.	Bu mahsulot bo‘yicha kirimlar yo‘q.
Приходов пока нет.	Hozircha kirimlar yo‘q.
Приходы от поставщика	Yetkazib beruvchidan kirimlar
Причина	Sabab
Причина списания	Hisobdan chiqarish sababi
Причина: %s	Sabab: %s
Причину он тоже прочитает — напишите её понятно.	Sababni ham u o‘qiydi — uni tushunarli qilib yozing.
Пробная печать	Sinov chop etish
Проверил	Tekshirdi
Проверка	Tekshiruv
Проверок	Tekshiruvlar
Проверьте соединение и обновите.	Ulanishni tekshiring va yangilang.
Проверяем…	Tekshirilmoqda…
Провести	O‘tkazish
Провести · %s	O‘tkazish · %s
Провести возврат?	Qaytarish o‘tkazilsinmi?
Провести инвентаризацию?	Inventarizatsiya o‘tkazilsinmi?
Проводим…	O‘tkazilmoqda…
Провёл: %s	O‘tkazdi: %s
Продаж	Sotuvlar
Продаж за период нет	Davr uchun sotuvlar yo‘q
Продаж за период нет.	Davr uchun sotuvlar yo‘q.
Продаж нет · %s	Sotuvlar yo‘q · %s
Продажа	Sotuv
Продажа недоступна	Sotuv mavjud emas
Продажа проведена · %s	Sotuv o‘tkazildi · %s
Продажи	Sotuvlar
Продажи в долг	Qarzga sotuvlar
Продажи за 7 дней	7 kunlik sotuvlar
Продажи по дням	Kunlar bo‘yicha sotuvlar
Продажи по часам	Soatlar bo‘yicha sotuvlar
Продажи, количество	Sotuvlar, miqdor
Продажи, сумма	Sotuvlar, summa
Продал: %s	Sotdi: %s
Проданные товары	Sotilgan mahsulotlar
Проданные чеки	Sotilgan cheklar
Проданный чек	Sotilgan chek
Продано	Sotildi
Продаёте дешевле закупки — проверьте цены.	Tan narxdan arzonga sotyapsiz — narxlarni tekshiring.
Продолжить · %s	Davom etish · %s
Промокод (если есть)	Promokod (agar bo‘lsa)
Промокод не найден	Promokod topilmadi
Промокод применён: −%s%%	Promokod qo‘llandi: −%s%%
Процент	Foiz
Пустой ответ сервера	Serverdan bo‘sh javob
Радиус бесплатной доставки, км (0 — выключено)	Bepul yetkazib berish radiusi, km (0 — o‘chirilgan)
Размер наклейки	Yorliq o‘lchami
Размер наклейки:	Yorliq o‘lchami:
Размер подписей во всём приложении на этом устройстве. На печать чеков и этикеток не влияет.	Bu qurilmada ilovadagi barcha yozuvlar o‘lchami. Chek va etiketkalar chop etilishiga ta’sir qilmaydi.
Размер текста	Matn o‘lchami
Размер чека	Chek o‘lchami
Размер чека: %s мм	Chek o‘lchami: %s mm
Разница	Farq
Разница, сумма	Farq, summa
Разница, шт	Farq, dona
Разница: 	Farq: 
Разрешить доступ	Ruxsat berish
Разрешить камеру	Kameraga ruxsat berish
Распечатать чек	Chekni chop etish
Расход	Xarajat
Расход записан	Xarajat yozildi
Расход изменён	Xarajat o‘zgartirildi
Расход отменён	Xarajat bekor qilindi
Расходов нет	Xarajatlar yo‘q
Расходы	Xarajatlar
Расходы за период	Davr xarajatlari
Расхождений нет.	Nomuvofiqliklar yo‘q.
Расхождения	Nomuvofiqliklar
Регистрация	Ro‘yxatdan o‘tish
Роль	Rol
Рулон	Rulon
Сводка	Xulosa
Сводка %s	Xulosa %s
Сдача	Qaytim
Сдача:	Qaytim:
Сдача: %s	Qaytim: %s
Себестоимость	Tannarx
Сегодня	Bugun
Сейчас: 	Hozir: 
Сервер временно недоступен. Попробуйте ещё раз.	Server vaqtincha ishlamayapti. Yana urinib ko‘ring.
Сервер не вернул клиента	Server mijozni qaytarmadi
Сервер не вернул сохранённый товар	Server saqlangan mahsulotni qaytarmadi
Сервер не отвечает. Попробуйте ещё раз.	Server javob bermayapti. Yana urinib ko‘ring.
Сервер отклонил документ	Server hujjatni rad etdi
Сервер применит расхождения к остаткам склада.	Server nomuvofiqliklarni ombor qoldiqlariga qo‘llaydi.
Сессия истекла. Войдите заново.	Sessiya tugadi. Qaytadan kiring.
Сети нет — чек сохранён и уйдёт на сервер сам, как только связь появится.	Tarmoq yo‘q — chek saqlandi va aloqa paydo bo‘lishi bilan serverga o‘zi jo‘naydi.
Система	Tizim
Сканирование	Skanerlash
Сканировать	Skanerlash
Сканировать QR чека	Chek QR kodini skanerlash
Сканировать заново	Qaytadan skanerlash
Сканировать код	Kodni skanerlash
Сканировать штрихкод	Shtrix-kodni skanerlash
Скидка	Chegirma
Скидка · %s	Chegirma · %s
Скидка на позицию	Pozitsiyaga chegirma
Скидка на чек	Chekka chegirma
Скидка применится на странице оплаты	Chegirma to‘lov sahifasida qo‘llanadi
Скидка, %	Chegirma, %
Скидка, %:	Chegirma, %:
Скидка, сумма	Chegirma, summa
Скидка, сумма:	Chegirma, summa:
Сколько наклеек: %s	Nechta yorliq: %s
Скоро истекает срок	Muddati tugayapti
Скрыто	Yashirilgan
Скрыты из продажи	Sotuvdan yashirilgan
Смешанно	Aralash
Смотреть все продажи и товары	Barcha sotuv va mahsulotlarni ko‘rish
Снять	Yechish
Создан	Yaratildi
Создать	Yaratish
Создать категорию	Kategoriya yaratish
Состав документа	Hujjat tarkibi
Состав заказа · %s	Buyurtma tarkibi · %s
Состав чека сервер не прислал	Chek tarkibini server yubormadi
Сотрудник	Xodim
Сотрудник · ключ	Xodim · kalit
Сотрудник создан	Xodim yaratildi
Сотрудники	Xodimlar
Сотрудников пока нет. Добавьте первого кнопкой выше.	Hozircha xodimlar yo‘q. Birinchisini yuqoridagi tugma bilan qo‘shing.
Сохранено	Saqlandi
Сохранить	Saqlash
Сохранить изменения	O‘zgarishlarni saqlash
Сохранить пароль	Parolni saqlash
Сохранить приход	Kirimni saqlash
Сохраняем…	Saqlanmoqda…
Спаренных устройств нет. Включите принтер и сопрягите его в настройках Bluetooth — потом вернитесь сюда.	Ulangan qurilmalar yo‘q. Printerni yoqing va uni Bluetooth sozlamalarida ulang — keyin bu yerga qayting.
Спасибо за отзыв!	Sharh uchun rahmat!
Списание	Hisobdan chiqarish
Списание отменено, товар вернулся на склад	Hisobdan chiqarish bekor qilindi, mahsulot omborga qaytdi
Списание появится после обновления серверной части.	Hisobdan chiqarish server qismi yangilangandan keyin paydo bo‘ladi.
Списание товара	Mahsulotni hisobdan chiqarish
Списаний за период не было	Davr uchun hisobdan chiqarishlar bo‘lmagan
Списано единиц	Hisobdan chiqarilgan birliklar
Списать	Hisobdan chiqarish
Список	Ro‘yxat
Список клиентов	Mijozlar ro‘yxati
Список поставщиков	Yetkazib beruvchilar ro‘yxati
Список пуст. Наведите камеру на штрихкод.	Ro‘yxat bo‘sh. Kamerani shtrix-kodga qarating.
Список сотрудников не загрузился. Проверьте соединение.	Xodimlar ro‘yxati yuklanmadi. Ulanishni tekshiring.
Список устройств не загрузился. Проверьте соединение.	Qurilmalar ro‘yxati yuklanmadi. Ulanishni tekshiring.
Способ получения	Olish usuli
Справочник	Ma’lumotnoma
Справочник ещё не загружен — закрытия долгов приедут вместе с ним.	Ma’lumotnoma hali yuklanmadi — qarz yopilishlari u bilan birga keladi.
Среднее	O‘rtacha
Средний	O‘rtacha
Средний чек	O‘rtacha chek
Срок годности	Yaroqlilik muddati
Срок годности вышел	Yaroqlilik muddati tugagan
Срок годности: не указан	Yaroqlilik muddati: ko‘rsatilmagan
Ссылка магазина	Do‘kon havolasi
Ссылка на оплату ещё не настроена. Напишите в поддержку.	To‘lov havolasi hali sozlanmagan. Qo‘llab-quvvatlashga yozing.
Ссылка на оплату ещё не настроена. Обратитесь в поддержку.	To‘lov havolasi hali sozlanmagan. Qo‘llab-quvvatlashga murojaat qiling.
Старый ключ «%s» перестанет работать немедленно, 	Eski «%s» kalit darhol ishlamay qoladi, 
Старый ключ перестанет работать сразу: сотрудник останется без входа, пока не получит новый.	Eski kalit darhol ishlamay qoladi: xodim yangisini olmaguncha kira olmaydi.
Стат	Stat
Статистика	Statistika
Статус	Holat
Статус: в долге	Holat: qarzda
Статус: оплачено %s из %s	Holat: %s to‘landi, jami %s
Стоимость	Qiymat
Стоимость склада по закупке	Ombor qiymati tan narxda
Стоимость склада по продаже	Ombor qiymati sotuv narxida
Строк	Qatorlar
Сумма	Summa
Сумма возврата	Qaytarish summasi
Сумма возвратов	Qaytarishlar summasi
Сумма закупки	Xarid summasi
Сумма оплаты (долг %s)	To‘lov summasi (qarz %s)
Сумма по всем непогашенным чекам	Barcha yopilmagan cheklar bo‘yicha summa
Сумма прихода	Kirim summasi
Сумма приходов	Kirimlar summasi
Сумма продажи	Sotuv summasi
Сумма расхода	Xarajat summasi
Сумма расхождения: 	Nomuvofiqlik summasi: 
Сумма склада	Ombor summasi
Сумма чека	Chek summasi
Сумма:	Summa:
Сумма: 	Summa: 
Суммы без буквенного кода	Harfli kodsiz summalar
Так будет выглядеть текст в приложении.	Ilovadagi matn shunday ko‘rinadi.
Такой код уже есть	Bunday kod allaqachon bor
Тариф ограничивает только число сотрудников в веб-версии. Товары, статистика, долги, клиенты и другие разделы работают без ограничений.	Tarif faqat veb-versiyadagi xodimlar sonini cheklaydi. Mahsulotlar, statistika, qarzlar, mijozlar va boshqa bo‘limlar cheklovsiz ishlaydi.
Тариф ограничивает только число сотрудников. Товары, статистика и остальные разделы — без ограничений.	Tarif faqat xodimlar sonini cheklaydi. Mahsulotlar, statistika va qolgan bo‘limlar — cheklovsiz.
Текущие категории магазина	Do‘konning joriy kategoriyalari
Телефон	Telefon
Телефон (необязательно)	Telefon (majburiy emas)
Телефон не указан	Telefon ko‘rsatilmagan
Тема оформления	Dizayn mavzusi
Товар	Mahsulot
Товар #%s	Mahsulot #%s
Товар в архиве	Mahsulot arxivda
Товар вернулся в продажу	Mahsulot sotuvga qaytdi
Товар вернётся на склад, документ останется в истории с пометкой «отменён». Отменить можно только в день списания.	Mahsulot omborga qaytadi, hujjat tarixda «bekor qilingan» belgisi bilan qoladi. Faqat hisobdan chiqarilgan kuni bekor qilish mumkin.
Товар вернётся на склад.	Mahsulot omborga qaytadi.
Товар заканчивается	Mahsulot tugayapti
Товар с кодом %s не найден	%s kodli mahsulot topilmadi
Товар с таким кодом не найден	Bunday kodli mahsulot topilmadi
Товар создан	Mahsulot yaratildi
Товар создан, приход проведён	Mahsulot yaratildi, kirim o‘tkazildi
Товар сохранён, но приход не прошёл: 	Mahsulot saqlandi, lekin kirim o‘tmadi: 
Товар списан, склад уменьшен	Mahsulot hisobdan chiqarildi, ombor kamaydi
Товар уже в списке	Mahsulot ro‘yxatda bor
Товар №%s	Mahsulot №%s
Товаров	Mahsulotlar
Товаров без кода: %s. Каждому присвоим внутренний EAN-13. 	Kodsiz mahsulotlar: %s. Har biriga ichki EAN-13 beramiz. 
Товаров в документе нет. Добавьте их поиском или сканером.	Hujjatda mahsulotlar yo‘q. Ularni qidiruv yoki skaner orqali qo‘shing.
Товаров нет.	Mahsulotlar yo‘q.
Товаров нет. Добавьте их во вкладке «Товары».	Mahsulotlar yo‘q. Ularni «Mahsulotlar» bo‘limida qo‘shing.
Товары	Mahsulotlar
Товары без штрихкода: %s	Shtrix-kodsiz mahsulotlar: %s
Товары в чеке	Chekdagi mahsulotlar
Товары ещё не выбраны. Нажмите «Добавить товары» и отметьте всё, что стоит на полке.	Mahsulotlar hali tanlanmagan. «Mahsulot qo‘shish» ni bosing va javonda turgan hammasini belgilang.
Товары из Excel	Excel’dan mahsulotlar
Товары категории	Kategoriya mahsulotlari
Товары не выбраны	Mahsulotlar tanlanmagan
Топ-10 за %s	%s uchun Top-10
Точка не задана — нажмите на карту.	Nuqta belgilanmagan — xaritani bosing.
Требуется подписка.	Obuna talab qilinadi.
У этого устройства нет Bluetooth. Чеки будут печататься через системный диалог Android.	Bu qurilmada Bluetooth yo‘q. Cheklar Android tizim oynasi orqali chop etiladi.
Убрать	Olib tashlash
Убрать из документа	Hujjatdan olib tashlash
Убрать клиента	Mijozni olib tashlash
Убрать точку	Nuqtani olib tashlash
Убыток по себестоимости	Tannarx bo‘yicha zarar
Убыток: 	Zarar: 
Уведомления	Bildirishnomalar
Удалено: %s	O‘chirildi: %s
Удалить	O‘chirish
Удалить код	Kodni o‘chirish
Удалить чек	Chekni o‘chirish
Удалить чек %s?	%s chek o‘chirilsinmi?
Удалён	O‘chirildi
Уже существующие коды не тронем.	Mavjud kodlarga tegmaymiz.
Уйдут сами при появлении связи	Aloqa paydo bo‘lganda o‘zi jo‘naydi
Укажите количество хотя бы по одной позиции	Kamida bitta pozitsiya bo‘yicha miqdorni kiriting
Укажите количество хотя бы по одному товару	Kamida bitta mahsulot bo‘yicha miqdorni kiriting
Укажите количество — здесь появится образец наклейки.	Miqdorni kiriting — bu yerda yorliq namunasi paydo bo‘ladi.
Укажите сумму	Summani kiriting
Укажите цену продажи — по ней товар будет продаваться.	Sotuv narxini kiriting — mahsulot shu narxda sotiladi.
Укажите, сколько наклеек напечатать	Nechta yorliq chop etilishini kiriting
Установлена устаревшая версия приложения. Обновите его в Google Play, чтобы продолжить работу.	Ilovaning eskirgan versiyasi o‘rnatilgan. Ishni davom ettirish uchun uni Google Play’da yangilang.
Устройств нет — ключ ещё нигде не активирован.	Qurilmalar yo‘q — kalit hali hech qayerda faollashtirilmagan.
Устройства	Qurilmalar
Устройство	Qurilma
Устройство отвязано	Qurilma uzildi
Учёт	Hisob
Учёт, %s	Hisob, %s
Ушло на сервер: 	Serverga jo‘natildi: 
Факт	Fakt
Фактически	Haqiqatda
Цвет	Rang
Цена	Narx
Цена доставки (0 — бесплатно)	Yetkazib berish narxi (0 — bepul)
Цена прихода	Kirim narxi
Цена прихода: 	Kirim narxi: 
Цена продажи	Sotuv narxi
Цены и остаток	Narxlar va qoldiq
Цифры кода под полосками	Chiziqlar ostidagi kod raqamlari
Частично	Qisman
Частичный возврат	Qisman qaytarish
Чат с командой FonRo	FonRo jamoasi bilan chat
Чек	Chek
Чек 	Chek 
Чек #%s	Chek #%s
