 · «%s»: владелец + 	 · «%s»: ээси + 
Нет доступа к Bluetooth. Разрешите его в настройках телефона.	Bluetooth'ко уруксат жок. Телефондун жөндөөлөрүндө уруксат бериңиз.
Нет доступа к долгам	Карыздарга уруксат жок
Нет доступа к истории продаж	Сатуулар тарыхына уруксат жок
Нет доступа к камере. Разрешите её в настройках телефона.	Камерага уруксат жок. Телефондун жөндөөлөрүндө уруксат бериңиз.
Нет доступа к расходам	Чыгымдарга уруксат жок
Нет доступа к этому разделу	Бул бөлүмгө уруксат жок
Нет доступа.	Уруксат жок.
Нет права на возвраты	Кайтарууларга укук жок
Нет права на изменение товаров	Товарларды өзгөртүүгө укук жок
Нет права на инвентаризацию	Инвентаризацияга укук жок
Нет права на приход	Киришке укук жок
Нет права на расходы	Чыгымдарга укук жок
Нет соединения с сервером. Проверьте интернет.	Сервер менен байланыш жок. Интернетти текшериңиз.
Нечего печатать: не выбран ни один товар	Басып чыгарууга эч нерсе жок: бир да товар тандалган жок
Никого не нашлось	Эч ким табылган жок
Ничего не найдено	Эч нерсе табылган жок
Ничего не найдено.	Эч нерсе табылган жок.
Ничего не найдено. Проверьте название или штрихкод.	Эч нерсе табылган жок. Аталышын же штрих-кодду текшериңиз.
Ничего не отмечено	Эч нерсе белгиленген жок
Новая инвентаризация	Жаңы инвентаризация
Новая категория	Жаңы категория
Новые	Жаңылар
Новые заказы	Жаңы буйрутмалар
Новые заказы с онлайн-витрины	Онлайн-витринадан жаңы буйрутмалар
Новый	Жаңы
Новый возврат	Жаңы кайтаруу
Новый клиент	Жаңы кардар
Новый ключ выпущен — передайте его сотруднику	Жаңы ачкыч чыгарылды — аны кызматкерге бериңиз
Новый код	Жаңы код
Новый пароль	Жаңы сырсөз
Новый пароль (минимум 6 символов)	Жаңы сырсөз (минимум 6 белги)
Новый поставщик	Жаңы жеткирүүчү
Новый приход	Жаңы кириш
Новый расход	Жаңы чыгым
Новый сотрудник	Жаңы кызматкер
Новый товар	Жаңы товар
Новый штрихкод	Жаңы штрих-код
Новых заказов нет	Жаңы буйрутмалар жок
Номер накладной	Накладнаянын номери
Номер чека	Чектин номери
Обновите FonRo	FonRo'ти жаңылаңыз
Обновить	Жаңылоо
Оборот по приходам	Кириштер боюнча жүгүртүү
Общий долг	Жалпы карыз
Объём	Көлөмү
Один ключ доступа работает на ограниченном числе устройств. Отвязка освобождает слот: на отвязанном телефоне вход перестанет работать сразу, а на этом останется как есть.	Бир кирүү ачкычы чектелген сандагы түзмөктө иштейт. Ажыратуу орунду бошотот: ажыратылган телефондо кирүү дароо иштебей калат, ал эми бул телефондо мурункудай бойдон калат.
Онлайн	Онлайн
Онлайн-магазин	Онлайн-дүкөн
Описание для покупателей	Сатып алуучулар үчүн сүрөттөмө
Опишите вопрос или проблему — ответим прямо здесь. Переписку видите только вы и поддержка.	Суроону же көйгөйдү жазып бериңиз — ушул жерден жооп беребиз. Жазышууну сиз жана колдоо кызматы гана көрөт.
Оплат ещё не было	Азырынча төлөмдөр болгон жок
Оплата	Төлөм
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту и нажмите ещё раз.	Төлөм азырынча ырасталган жок. Жаңы эле төлөгөн болсоңуз — бир мүнөт күтүп, кайра басыңыз.
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту.	Төлөм азырынча ырасталган жок. Жаңы эле төлөгөн болсоңуз — бир мүнөт күтүңүз.
Оплачен	Төлөндү
Оплачено	Төлөндү
Оплачено 	Төлөндү 
Оплачено поставщику	Жеткирүүчүгө төлөндү
Оплачено:	Төлөндү:
Основной штрихкод	Негизги штрих-код
Осталось	Калды
Останется долг:	Карыз калат:
Остаток	Калдык
Остаток %s %s	Калдык %s %s
Остаток ≤ %s · 	Калдык ≤ %s · 
Остаток, шт	Калдык, даана
Остаток: %s %s	Калдык: %s %s
Ответ на отзыв	Пикирге жооп
Ответ покупателю	Сатып алуучуга жооп
Ответ сохранён	Жооп сакталды
Ответы службы поддержки	Колдоо кызматынын жооптору
Отвязать	Ажыратуу
Отвязать устройство?	Түзмөктү ажыратасызбы?
Отзывов пока нет	Азырынча пикирлер жок
Отключить принтер	Принтерди өчүрүү
Отключён	Өчүрүлдү
Открыт	Ачык
Открытый	Ачык
Открытых долгов нет 🎉	Ачык карыздар жок 🎉
Открыть чек	Чекти ачуу
Отложенная отправка	Кийинкиге калтырылган жөнөтүү
Отложенные чеки	Кийинкиге калтырылган чектер
Отложенные чеки отправлены	Кийинкиге калтырылган чектер жөнөтүлдү
Отложенных чеков нет	Кийинкиге калтырылган чектер жок
Отложить чек	Чекти кийинкиге калтыруу
Отмена	Жокко чыгаруу
Отменить	Жокко чыгаруу
Отменить заказ	Буйрутманы жокко чыгаруу
Отменить заказ?	Буйрутманы жокко чыгарасызбы?
Отменить подписку	Жазылууну жокко чыгаруу
Отменить подписку?	Жазылууну жокко чыгарасызбы?
Отменить расход	Чыгашаны жокко чыгаруу
Отменить расход?	Чыгашаны жокко чыгарасызбы?
Отменить списание	Эсептен чыгарууну жокко чыгаруу
Отменить списание?	Эсептен чыгарууну жокко чыгарасызбы?
Отменён	Жокко чыгарылды
Отменённые	Жокко чыгарылгандар
Отметьте «Верно» или внесите фактический остаток.	«Туура» деп белгилеңиз же чыныгы калдыкты киргизиңиз.
Отметьте хотя бы один товар	Жок дегенде бир товарды белгилеңиз
Отмечено · %s из %s	Белгиленди · %s / %s
Отмечено: 	Белгиленди: 
Отправить	Жөнөтүү
Отправить код ещё раз	Кодду кайра жөнөтүү
Отправить сейчас	Азыр жөнөтүү
Отправка отложенных чеков	Кийинкиге калтырылган чектерди жөнөтүү
Отправлено: 	Жөнөтүлдү: 
Отправляем код…	Кодду жөнөтүп жатабыз…
Отправляем…	Жөнөтүп жатабыз…
Отсканированные товары	Скандалган товарлар
Оформить подписку	Жазылууну тариздөө
Оформление кассы на этом устройстве. На печать чеков и этикеток не влияет.	Бул түзмөктөгү кассанын көрүнүшү. Чектерди жана этикеткаларды басып чыгарууга таасир этпейт.
Оформление локальной продажи	Жергиликтүү сатууну тариздөө
Очередь пуста — ни одна продажа не потерялась.	Кезек бош — бир дагы сатуу жоголгон жок.
Очистить	Тазалоо
Очистить чек?	Чекти тазалайсызбы?
Ошибка	Ката
Ошибка сервера (%s)	Сервер катасы (%s)
Пара слов о магазине	Дүкөн жөнүндө бир нече сөз
Параметр 1	Параметр 1
Параметр 2	Параметр 2
Пароли не совпадают.	Сырсөздөр дал келбейт.
Пароль	Сырсөз
Пароль (минимум 6 символов)	Сырсөз (эң аз 6 белги)
Пароль должен быть минимум 6 символов.	Сырсөз эң аз 6 белгиден турушу керек.
Пароль обновлён. Войдите с новым паролем.	Сырсөз жаңырды. Жаңы сырсөз менен кириңиз.
Первичная оплата	Алгачкы төлөм
Перевыпустить ключ	Ачкычты кайра чыгаруу
Перенос заказа очистит корзину и положит в неё товары заказа.	Буйрутманы өткөрүү себетти тазалап, ага буйрутманын товарларын салат.
Переносить нечего: этих товаров нет в каталоге или нет на складе	Өткөрүүгө эч нерсе жок: бул товарлар каталогдо жок же кампада жок
Печатаем…	Басып чыгарып жатабыз…
Печатать чек сразу после продажи	Сатуудан кийин чекти дароо басып чыгаруу
Печать	Басып чыгаруу
Печать доступна только при открытом приложении	Басып чыгаруу колдонмо ачык турганда гана мүмкүн
Печать штрихкодов	Штрих-коддорду басып чыгаруу
По количеству	Саны боюнча
По ней считается, сколько знаков влезает в строку чека	Ага жараша чектин бир сабына канча белги батары эсептелет
По одной	Бирден
По сумме	Суммасы боюнча
По этой позиции возвращать нечего	Бул позиция боюнча кайтарууга эч нерсе жок
Повторите пароль	Сырсөздү кайталаңыз
Повторить	Кайталоо
Погашение долга	Карызды жабуу
Погашений долга не было.	Карыз жабуулары болгон эмес.
Погашено	Жабылды
Подарок от FonRo	FonRo'тен белек
Поддержка	Колдоо
Поддержка FonRo	FonRo колдоо кызматы
Поделитесь ссылкой магазина с покупателями.	Дүкөндүн шилтемесин сатып алуучулар менен бөлүшүңүз.
Поделиться ссылкой	Шилтемени бөлүшүү
Подписка активна	Жазылуу активдүү
Подписка активна. Спасибо!	Жазылуу активдүү. Рахмат!
Подписка возобновлена	Жазылуу кайра жандырылды
Подписка отменена	Жазылуу жокко чыгарылды
Подписка отменена. Доступ — до конца периода.	Жазылуу жокко чыгарылды. Мүмкүнчүлүк — мезгилдин аягына чейин.
Подпиской магазина распоряжается владелец.	Дүкөндүн жазылуусун ээси башкарат.
Подтвердить	Ырастоо
Подтверждён	Ырасталды
Подытог	Аралык сумма
Позиции не переданы сервером.	Позицияларды сервер жөнөткөн жок.
Позиции проверки	Текшерүү позициялары
Позиции чека	Чектин позициялары
Позиций	Позиция
Позиций: %s	Позиция: %s
Позиций: %s. Разница %s 	Позиция: %s. Айырма %s 
Поиск	Издөө
Поиск в каталоге…	Каталогдон издөө…
Поиск клиента	Кардар издөө
Поиск по долгам	Карыздар боюнча издөө
Поиск по имени или телефону	Аты же телефону боюнча издөө
Поиск по названию, телефону или заметке	Аталышы, телефону же эскертүүсү боюнча издөө
Поиск среди выбранных	Тандалгандардын арасынан издөө
Поиск товара или кода	Товар же код издөө
Поиск товара, артикула или кода	Товар, артикул же код издөө
Поиск товара, кода или артикула	Товар, код же артикул издөө
Поиск товара, штрихкод	Товар издөө, штрих-код
Пока не получилось. Чеки останутся в очереди и уйдут сами, как только появится связь.	Азырынча болбоду. Чектер кезекте калат жана байланыш пайда болоору менен өздөрү жөнөйт.
Показаны первые %s из %s — уточните поиск.	Алгачкы %s / %s көрсөтүлдү — издөөнү тактаңыз.
Показаны последние %s из %s —	Акыркы %s / %s көрсөтүлдү —
Показатели магазина скрыты правами доступа.	Дүкөндүн көрсөткүчтөрү кирүү укуктары менен жашырылган.
Показать	Көрсөтүү
Показать ещё (%s)	Дагы көрсөтүү (%s)
Показать товары категории	Категориянын товарларын көрсөтүү
Покупатели смогут оставлять отзывы на витрине.	Сатып алуучулар витринада пикир калтыра алышат.
Покупатели увидят все цены на витрине в этой валюте.	Сатып алуучулар витринадагы бардык бааларды ушул валютада көрүшөт.
Покупатели увидят это на странице «О магазине» витрины вместе с адресом, телефоном и отзывами.	Сатып алуучулар муну витринанын «Дүкөн жөнүндө» барагында дарек, телефон жана пикирлер менен бирге көрүшөт.
Покупатель	Сатып алуучу
Покупатель увидит отмену заказа %s. 	Сатып алуучу %s буйрутмасынын жокко чыгарылганын көрөт. 
Покупки в долг	Карызга сатып алуулар
Покупок у этого клиента ещё не было.	Бул кардардын сатып алуулары азырынча болгон эмес.
Политика конфиденциальности	Купуялык саясаты
Полный возврат	Толук кайтаруу
Полный доступ	Толук мүмкүнчүлүк
Получено	Алынды
Получено долгов	Алынган карыздар
Получено меньше суммы чека	Чектин суммасынан аз алынды
Получено наличными	Накталай алынды
Получено:	Алынды:
Получить код	Код алуу
Порог «мало на складе»	«Кампада аз» босогосу
Порог сохранён: %s шт	Босого сакталды: %s даана
Порча, бой, просрочка — товар уходит со склада	Бузулуу, сынуу, мөөнөтү өтүү — товар кампадан чыгат
После создания сотрудник получит ключ доступа — по нему он войдёт в приложение на своём телефоне.	Түзүлгөндөн кийин кызматкер кирүү ачкычын алат — аны менен ал өз телефонундагы колдонмого кирет.
Поставщик	Жеткирүүчү
Поставщик добавлен	Жеткирүүчү кошулду
Поставщик:	Жеткирүүчү:
Поставщики	Жеткирүүчүлөр
Поставщики и оборот по приходам	Жеткирүүчүлөр жана кириштер боюнча жүгүртүү
Поставщиков	Жеткирүүчү
Поставщиков в справочнике	Маалымдамадагы жеткирүүчүлөр
Поставщиков нет — добавьте их в разделе «Поставщики».	Жеткирүүчүлөр жок — аларды «Жеткирүүчүлөр» бөлүмүндө кошуңуз.
Поставщиков пока нет — добавьте первого.	Жеткирүүчүлөр азырынча жок — биринчисин кошуңуз.
Почему чек здесь	Чек эмне үчүн бул жерде
Прав выдано	Берилген укуктар
Права доступа	Кирүү укуктары
Права не выданы.	Укуктар берилген эмес.
Права обновлены	Укуктар жаңырды
Правовая информация	Укуктук маалымат
Премиум активен. Спасибо!	Премиум активдүү. Рахмат!
Прибыль	Пайда
Прибыль %s	Пайда %s
Прибыль по дням	Күндөр боюнча пайда
Прибыль по часам	Сааттар боюнча пайда
Прибыль после расходов	Чыгашалардан кийинки пайда
Приложение	Колдонмо
Применить	Колдонуу
Принимаем…	Кабыл алып жатабыз…
Принтер	Принтер
Принтер «%s» выбран	«%s» принтери тандалды
Принтер выбран неверно. Выберите его заново.	Принтер туура эмес тандалган. Аны кайра тандаңыз.
Принтер не отвечает. Проверьте, включён ли он и рядом ли.	Принтер жооп бербейт. Ал күйгүзүлгөнүн жана жакын турганын текшериңиз.
Принтер отключён. Чеки пойдут в системную печать.	Принтер өчүрүлгөн. Чектер системалык басып чыгарууга кетет.
Принтер чеков	Чек принтери
Принял	Кабыл алды
Принял: %s	Кабыл алды: %s
Принято. Остаток: %s	Кабыл алынды. Калдык: %s
Принято: %s	Кабыл алынды: %s
Принять	Кабыл алуу
Принять:	Кабыл алуу:
Приход	Кириш
Приход · 	Кириш · 
Приход без привязки к контрагенту	Контрагентке байланышы жок кириш
Приход доступен сотрудникам с правом «Приход».	Кириш «Кириш» укугу бар кызматкерлерге жеткиликтүү.
Приход не проведён	Кириш өткөрүлгөн жок
Приход недоступен	Кириш жеткиликсиз
Приход проведён	Кириш өткөрүлдү
Приходов	Кириш
Приходов от этого поставщика ещё не было.	Бул жеткирүүчүдөн кириштер азырынча болгон эмес.
Приходов по этому товару нет.	Бул товар боюнча кириштер жок.
Приходов пока нет.	Кириштер азырынча жок.
Приходы от поставщика	Жеткирүүчүдөн кириштер
Причина	Себеп
Причина списания	Эсептен чыгаруунун себеби
Причина: %s	Себеп: %s
Причину он тоже прочитает — напишите её понятно.	Себепти да ал окуйт — аны түшүнүктүү жазыңыз.
Пробная печать	Сынама басып чыгаруу
Проверил	Текшерди
Проверка	Текшерүү
Проверок	Текшерүү
Проверьте соединение и обновите.	Байланышты текшерип, жаңыртыңыз.
Проверяем…	Текшерип жатабыз…
Провести	Өткөрүү
Провести · %s	Өткөрүү · %s
Провести возврат?	Кайтарууну өткөрөсүзбү?
Провести инвентаризацию?	Инвентаризацияны өткөрөсүзбү?
Проводим…	Өткөрүп жатабыз…
Провёл: %s	Өткөрдү: %s
Продаж	Сатуу
Продаж за период нет	Мезгил ичинде сатуу жок
Продаж за период нет.	Мезгил ичинде сатуу жок.
Продаж нет · %s	Сатуу жок · %s
Продажа	Сатуу
Продажа недоступна	Сатуу жеткиликсиз
Продажа проведена · %s	Сатуу өткөрүлдү · %s
Продажи	Сатуулар
Продажи в долг	Карызга сатуулар
Продажи за 7 дней	7 күндүк сатуулар
Продажи по дням	Күндөр боюнча сатуулар
Продажи по часам	Сааттар боюнча сатуулар
Продажи, количество	Сатуулар, саны
Продажи, сумма	Сатуулар, суммасы
Продал: %s	Сатты: %s
Проданные товары	Сатылган товарлар
Проданные чеки	Сатылган чектер
Проданный чек	Сатылган чек
Продано	Сатылды
Продаёте дешевле закупки — проверьте цены.	Сатып алуу баасынан арзан сатып жатасыз — бааларды текшериңиз.
Продолжить · %s	Улантуу · %s
Промокод (если есть)	Промокод (эгер болсо)
Промокод не найден	Промокод табылган жок
Промокод применён: −%s%%	Промокод колдонулду: −%s%%
Процент	Пайыз
Пустой ответ сервера	Сервердин жообу бош
Радиус бесплатной доставки, км (0 — выключено)	Акысыз жеткирүү радиусу, км (0 — өчүрүлгөн)
Размер наклейки	Чаптаманын өлчөмү
Размер наклейки:	Чаптаманын өлчөмү:
Размер подписей во всём приложении на этом устройстве. На печать чеков и этикеток не влияет.	Бул түзмөктөгү бүт колдонмодогу жазуулардын өлчөмү. Чектерди жана этикеткаларды басып чыгарууга таасир этпейт.
Размер текста	Тексттин өлчөмү
Размер чека	Чектин өлчөмү
Размер чека: %s мм	Чектин өлчөмү: %s мм
Разница	Айырма
Разница, сумма	Айырма, суммасы
Разница, шт	Айырма, даана
Разница: 	Айырма: 
Разрешить доступ	Уруксат берүү
Разрешить камеру	Камерага уруксат берүү
Распечатать чек	Чекти басып чыгаруу
Расход	Чыгаша
Расход записан	Чыгаша жазылды
Расход изменён	Чыгаша өзгөртүлдү
Расход отменён	Чыгаша жокко чыгарылды
Расходов нет	Чыгашалар жок
Расходы	Чыгашалар
Расходы за период	Мезгил ичиндеги чыгашалар
Расхождений нет.	Айырмачылыктар жок.
Расхождения	Айырмачылыктар
Регистрация	Каттоо
Роль	Роль
Рулон	Рулон
Сводка	Жыйынтык
Сводка %s	Жыйынтык %s
Сдача	Кайтарым
Сдача:	Кайтарым:
Сдача: %s	Кайтарым: %s
Себестоимость	Өздүк наркы
Сегодня	Бүгүн
Сейчас: 	Азыр: 
Сервер временно недоступен. Попробуйте ещё раз.	Сервер убактылуу жеткиликсиз. Кайра аракет кылыңыз.
Сервер не вернул клиента	Сервер кардарды кайтарган жок
Сервер не вернул сохранённый товар	Сервер сакталган товарды кайтарган жок
Сервер не отвечает. Попробуйте ещё раз.	Сервер жооп бербейт. Кайра аракет кылыңыз.
Сервер отклонил документ	Сервер документти четке какты
Сервер применит расхождения к остаткам склада.	Сервер айырмачылыктарды кампанын калдыктарына колдонот.
Сессия истекла. Войдите заново.	Сессиянын мөөнөтү бүттү. Кайра кириңиз.
Сети нет — чек сохранён и уйдёт на сервер сам, как только связь появится.	Тармак жок — чек сакталды жана байланыш пайда болоору менен серверге өзү жөнөйт.
Система	Система
Сканирование	Скандоо
Сканировать	Скандоо
Сканировать QR чека	Чектин QR кодун скандоо
Сканировать заново	Кайра скандоо
Сканировать код	Кодду скандоо
Сканировать штрихкод	Штрих-кодду скандоо
Скидка	Арзандатуу
Скидка · %s	Арзандатуу · %s
Скидка на позицию	Позицияга арзандатуу
Скидка на чек	Чекке арзандатуу
Скидка применится на странице оплаты	Арзандатуу төлөм барагында колдонулат
Скидка, %	Арзандатуу, %
Скидка, %:	Арзандатуу, %:
Скидка, сумма	Арзандатуу, суммасы
Скидка, сумма:	Арзандатуу, суммасы:
Сколько наклеек: %s	Канча чаптама: %s
Скоро истекает срок	Мөөнөтү жакында бүтөт
Скрыто	Жашырылды
Скрыты из продажи	Сатуудан жашырылган
Смешанно	Аралаш
Смотреть все продажи и товары	Бардык сатууларды жана товарларды көрүү
Снять	Алып салуу
Создан	Түзүлдү
Создать	Түзүү
Создать категорию	Категория түзүү
Состав документа	Документтин курамы
Состав заказа · %s	Буйрутманын курамы · %s
Состав чека сервер не прислал	Чектин курамын сервер жөнөткөн жок
Сотрудник	Кызматкер
Сотрудник · ключ	Кызматкер · ачкыч
Сотрудник создан	Кызматкер түзүлдү
Сотрудники	Кызматкерлер
Сотрудников пока нет. Добавьте первого кнопкой выше.	Кызматкерлер азырынча жок. Биринчисин жогорудагы баскыч менен кошуңуз.
Сохранено	Сакталды
Сохранить	Сактоо
Сохранить изменения	Өзгөртүүлөрдү сактоо
Сохранить пароль	Сырсөздү сактоо
Сохранить приход	Киришти сактоо
Сохраняем…	Сактап жатабыз…
Спаренных устройств нет. Включите принтер и сопрягите его в настройках Bluetooth — потом вернитесь сюда.	Жупташтырылган түзмөктөр жок. Принтерди күйгүзүп, аны Bluetooth жөндөөлөрүндө жупташтырыңыз — андан кийин бул жерге кайтыңыз.
Спасибо за отзыв!	Пикириңиз үчүн рахмат!
Списание	Эсептен чыгаруу
Списание отменено, товар вернулся на склад	Эсептен чыгаруу жокко чыгарылды, товар кампага кайтты
Списание появится после обновления серверной части.	Эсептен чыгаруу сервердик бөлүк жаңыргандан кийин пайда болот.
Списание товара	Товарды эсептен чыгаруу
Списаний за период не было	Мезгил ичинде эсептен чыгаруулар болгон эмес
Списано единиц	Эсептен чыгарылган бирдиктер
Списать	Эсептен чыгаруу
Список	Тизме
Список клиентов	Кардарлардын тизмеси
Список поставщиков	Жеткирүүчүлөрдүн тизмеси
Список пуст. Наведите камеру на штрихкод.	Тизме бош. Камераны штрих-кодго багыттаңыз.
Список сотрудников не загрузился. Проверьте соединение.	Кызматкерлердин тизмеси жүктөлгөн жок. Байланышты текшериңиз.
Список устройств не загрузился. Проверьте соединение.	Түзмөктөрдүн тизмеси жүктөлгөн жок. Байланышты текшериңиз.
Способ получения	Алуу ыкмасы
Справочник	Маалымдама
Справочник ещё не загружен — закрытия долгов приедут вместе с ним.	Маалымдама азырынча жүктөлө элек — карыздардын жабылышы аны менен кошо келет.
Среднее	Орточо
Средний	Орточо
Средний чек	Орточо чек
Срок годности	Жарактуулук мөөнөтү
Срок годности вышел	Жарактуулук мөөнөтү бүттү
Срок годности: не указан	Жарактуулук мөөнөтү: көрсөтүлгөн эмес
Ссылка магазина	Дүкөндүн шилтемеси
Ссылка на оплату ещё не настроена. Напишите в поддержку.	Төлөм шилтемеси азырынча тууралана элек. Колдоо кызматына жазыңыз.
Ссылка на оплату ещё не настроена. Обратитесь в поддержку.	Төлөм шилтемеси азырынча тууралана элек. Колдоо кызматына кайрылыңыз.
Старый ключ «%s» перестанет работать немедленно, 	Эски «%s» ачкычы дароо иштебей калат, 
Старый ключ перестанет работать сразу: сотрудник останется без входа, пока не получит новый.	Эски ачкыч дароо иштебей калат: кызматкер жаңысын алганга чейин кире албай калат.
Стат	Стат
Статистика	Статистика
Статус	Статус
Статус: в долге	Статус: карызда
Статус: оплачено %s из %s	Статус: %s / %s төлөндү
Стоимость	Наркы
Стоимость склада по закупке	Кампанын сатып алуу баасы боюнча наркы
Стоимость склада по продаже	Кампанын сатуу баасы боюнча наркы
Строк	Сап
Сумма	Сумма
Сумма возврата	Кайтаруунун суммасы
Сумма возвратов	Кайтаруулардын суммасы
Сумма закупки	Сатып алуунун суммасы
Сумма оплаты (долг %s)	Төлөмдүн суммасы (карыз %s)
Сумма по всем непогашенным чекам	Жабылбаган бардык чектер боюнча сумма
Сумма прихода	Кириштин суммасы
Сумма приходов	Кириштердин суммасы
Сумма продажи	Сатуунун суммасы
Сумма расхода	Чыгашанын суммасы
Сумма расхождения: 	Айырмачылыктын суммасы: 
Сумма склада	Кампанын суммасы
Сумма чека	Чектин суммасы
Сумма:	Сумма:
Сумма: 	Сумма: 
Суммы без буквенного кода	Тамга коду жок суммалар
Так будет выглядеть текст в приложении.	Колдонмодогу текст ушундай көрүнөт.
Такой код уже есть	Мындай код мурунтан бар
Тариф ограничивает только число сотрудников в веб-версии. Товары, статистика, долги, клиенты и другие разделы работают без ограничений.	Тариф веб-версиядагы кызматкерлердин санын гана чектейт. Товарлар, статистика, карыздар, кардарлар жана башка бөлүмдөр чектөөсүз иштейт.
Тариф ограничивает только число сотрудников. Товары, статистика и остальные разделы — без ограничений.	Тариф кызматкерлердин санын гана чектейт. Товарлар, статистика жана калган бөлүмдөр — чектөөсүз.
Текущие категории магазина	Дүкөндүн учурдагы категориялары
Телефон	Телефон
Телефон (необязательно)	Телефон (милдеттүү эмес)
Телефон не указан	Телефон көрсөтүлгөн эмес
Тема оформления	Дизайн темасы
Товар	Товар
Товар #%s	Товар #%s
Товар в архиве	Товар архивде
Товар вернулся в продажу	Товар сатууга кайтты
Товар вернётся на склад, документ останется в истории с пометкой «отменён». Отменить можно только в день списания.	Товар кампага кайтат, документ тарыхта «жокко чыгарылды» белгиси менен калат. Жокко чыгаруу эсептен чыгарылган күнү гана мүмкүн.
Товар вернётся на склад.	Товар кампага кайтат.
Товар заканчивается	Товар түгөнүп баратат
Товар с кодом %s не найден	%s коду менен товар табылган жок
Товар с таким кодом не найден	Мындай коду бар товар табылган жок
Товар создан	Товар түзүлдү
Товар создан, приход проведён	Товар түзүлдү, кириш өткөрүлдү
Товар сохранён, но приход не прошёл: 	Товар сакталды, бирок кириш өткөн жок: 
Товар списан, склад уменьшен	Товар эсептен чыгарылды, кампа азайды
Товар уже в списке	Товар тизмеде мурунтан бар
Товар №%s	Товар №%s
Товаров	Товар
Товаров без кода: %s. Каждому присвоим внутренний EAN-13. 	Коду жок товарлар: %s. Ар бирине ички EAN-13 берилет. 
Товаров в документе нет. Добавьте их поиском или сканером.	Документте товарлар жок. Аларды издөө же сканер аркылуу кошуңуз.
Товаров нет.	Товарлар жок.
Товаров нет. Добавьте их во вкладке «Товары».	Товарлар жок. Аларды «Товарлар» өтмөгүндө кошуңуз.
Товары	Товарлар
Товары без штрихкода: %s	Штрих-коду жок товарлар: %s
Товары в чеке	Чектеги товарлар
Товары ещё не выбраны. Нажмите «Добавить товары» и отметьте всё, что стоит на полке.	Товарлар азырынча тандала элек. «Товарларды кошуу» баскычын басып, текчеде турган баарын белгилеңиз.
Товары из Excel	Excel'ден товарлар
Товары категории	Категориянын товарлары
Товары не выбраны	Товарлар тандалган эмес
Топ-10 за %s	%s үчүн Топ-10
Точка не задана — нажмите на карту.	Чекит белгиленген эмес — картаны басыңыз.
Требуется подписка.	Жазылуу талап кылынат.
У этого устройства нет Bluetooth. Чеки будут печататься через системный диалог Android.	Бул түзмөктө Bluetooth жок. Чектер Android'дин системалык диалогу аркылуу басылат.
Убрать	Алып салуу
Убрать из документа	Документтен алып салуу
Убрать клиента	Кардарды алып салуу
Убрать точку	Чекитти алып салуу
Убыток по себестоимости	Өздүк наркы боюнча зыян
Убыток: 	Зыян: 
Уведомления	Билдирмелер
Удалено: %s	Өчүрүлдү: %s
Удалить	Өчүрүү
Удалить код	Кодду өчүрүү
Удалить чек	Чекти өчүрүү
Удалить чек %s?	%s чегин өчүрөсүзбү?
Удалён	Өчүрүлдү
Уже существующие коды не тронем.	Мурунтан бар коддорго тийбейбиз.
Уйдут сами при появлении связи	Байланыш пайда болгондо өздөрү жөнөйт
Укажите количество хотя бы по одной позиции	Жок дегенде бир позиция боюнча санын көрсөтүңүз
Укажите количество хотя бы по одному товару	Жок дегенде бир товар боюнча санын көрсөтүңүз
Укажите количество — здесь появится образец наклейки.	Санын көрсөтүңүз — бул жерде чаптаманын үлгүсү пайда болот.
Укажите сумму	Сумманы көрсөтүңүз
Укажите цену продажи — по ней товар будет продаваться.	Сатуу баасын көрсөтүңүз — товар ошол баада сатылат.
Укажите, сколько наклеек напечатать	Канча чаптама басып чыгарууну көрсөтүңүз
Установлена устаревшая версия приложения. Обновите его в Google Play, чтобы продолжить работу.	Колдонмонун эскирген версиясы орнотулган. Иштөөнү улантуу үчүн аны Google Play'де жаңыртыңыз.
Устройств нет — ключ ещё нигде не активирован.	Түзмөктөр жок — ачкыч эч жерде активдештириле элек.
Устройства	Түзмөктөр
Устройство	Түзмөк
Устройство отвязано	Түзмөк ажыратылды
Учёт	Эсеп
Учёт, %s	Эсеп, %s
Ушло на сервер: 	Серверге кетти: 
Факт	Факт
Фактически	Иш жүзүндө
Цвет	Түс
Цена	Баа
Цена доставки (0 — бесплатно)	Жеткирүүнүн баасы (0 — акысыз)
Цена прихода	Кириштин баасы
Цена прихода: 	Кириштин баасы: 
Цена продажи	Сатуу баасы
Цены и остаток	Баалар жана калдык
Цифры кода под полосками	Тилкелердин астындагы коддун цифралары
Частично	Жарым-жартылай
Частичный возврат	Жарым-жартылай кайтаруу
Чат с командой FonRo	FonRo командасы менен чат
Чек	Чек
Чек 	Чек 
Чек #%s	Чек #%s
Чек %s. Позиций: %s. 	Чек %s. Позиция: %s. 
Чек / товары	Чек / товарлар
Чек вернулся в кассу	Чек кассага кайтты
Чек исчезнет с устройства и на сервер больше не попадёт: продажи в отчётах магазина не будет, а списанный остаток останется списанным. Удаляйте только тот чек, который сервер уже отверг по существу.	Чек түзмөктөн жоголот жана мындан ары серверге түшпөйт: дүкөндүн отчётторунда сатуу болбойт, ал эми эсептен чыгарылган калдык эсептен чыгарылган бойдон калат. Серверде маңызы боюнча четке кагылган чекти гана өчүрүңүз.
