 · «%s»: владелец + 	 · "%s": owner + 
Покупатели увидят это на странице «О магазине» витрины вместе с адресом, телефоном и отзывами.	Customers will see this on the storefront's "About the shop" page together with the address, phone and reviews.
Покупатель	Customer
Покупатель увидит отмену заказа %s. 	The customer will see that order %s was cancelled. 
Покупки в долг	Credit purchases
Покупок у этого клиента ещё не было.	This customer has no purchases yet.
Политика конфиденциальности	Privacy policy
Полный возврат	Full return
Полный доступ	Full access
Получено	Received
Получено долгов	Debts collected
Получено меньше суммы чека	Received less than the receipt total
Получено наличными	Received in cash
Получено:	Received:
Получить код	Get code
Порог «мало на складе»	"Low stock" threshold
Порог сохранён: %s шт	Threshold saved: %s pcs
Порча, бой, просрочка — товар уходит со склада	Damage, breakage, expiry — the item leaves stock
После создания сотрудник получит ключ доступа — по нему он войдёт в приложение на своём телефоне.	Once created, the employee gets an access key — they use it to sign in to the app on their own phone.
Поставщик	Supplier
Поставщик добавлен	Supplier added
Поставщик:	Supplier:
Поставщики	Suppliers
Поставщики и оборот по приходам	Suppliers and stock-in turnover
Поставщиков	Suppliers
Поставщиков в справочнике	Suppliers in the directory
Поставщиков нет — добавьте их в разделе «Поставщики».	No suppliers — add them in the "Suppliers" section.
Поставщиков пока нет — добавьте первого.	No suppliers yet — add the first one.
Почему чек здесь	Why this receipt is here
Прав выдано	Rights granted
Права доступа	Access rights
Права не выданы.	No rights granted.
Права обновлены	Rights updated
Правовая информация	Legal information
Премиум активен. Спасибо!	Premium active. Thank you!
Прибыль	Profit
Прибыль %s	Profit %s
Прибыль по дням	Profit by day
Прибыль по часам	Profit by hour
Прибыль после расходов	Profit after expenses
Приложение	App
Применить	Apply
Принимаем…	Accepting…
Принтер	Printer
Принтер «%s» выбран	Printer "%s" selected
Принтер выбран неверно. Выберите его заново.	Wrong printer selected. Choose it again.
Принтер не отвечает. Проверьте, включён ли он и рядом ли.	The printer is not responding. Check that it is on and nearby.
Принтер отключён. Чеки пойдут в системную печать.	Printer off. Receipts will go to system printing.
Принтер чеков	Receipt printer
Принял	Accepted by
Принял: %s	Accepted by: %s
Принято. Остаток: %s	Accepted. Stock: %s
Принято: %s	Accepted: %s
Принять	Accept
Принять:	Accept:
Приход	Stock-in
Приход · 	Stock-in · 
Приход без привязки к контрагенту	Stock-in with no counterparty
Приход доступен сотрудникам с правом «Приход».	Stock-in is available to employees with the "Stock-in" right.
Приход не проведён	Stock-in not posted
Приход недоступен	Stock-in unavailable
Приход проведён	Stock-in posted
Приходов	Stock-ins
Приходов от этого поставщика ещё не было.	No stock-ins from this supplier yet.
Приходов по этому товару нет.	No stock-ins for this item.
Приходов пока нет.	No stock-ins yet.
Приходы от поставщика	Stock-ins from supplier
Причина	Reason
Причина списания	Write-off reason
Причина: %s	Reason: %s
Причину он тоже прочитает — напишите её понятно.	They will read the reason too — write it clearly.
Пробная печать	Test print
Проверил	Checked by
Проверка	Check
Проверок	Checks
Проверьте соединение и обновите.	Check your connection and refresh.
Проверяем…	Checking…
Провести	Post
Провести · %s	Post · %s
Провести возврат?	Post the return?
Провести инвентаризацию?	Post the stocktake?
Проводим…	Posting…
Провёл: %s	Posted by: %s
Продаж	Sales
Продаж за период нет	No sales for the period
Продаж за период нет.	No sales for the period.
Продаж нет · %s	No sales · %s
Продажа	Sale
Продажа недоступна	Sale unavailable
Продажа проведена · %s	Sale posted · %s
Продажи	Sales
Продажи в долг	Credit sales
Продажи за 7 дней	Sales over 7 days
Продажи по дням	Sales by day
Продажи по часам	Sales by hour
Продажи, количество	Sales, quantity
Продажи, сумма	Sales, amount
Продал: %s	Sold by: %s
Проданные товары	Items sold
Проданные чеки	Sold receipts
Проданный чек	Sold receipt
Продано	Sold
Продаёте дешевле закупки — проверьте цены.	You are selling below cost price — check the prices.
Продолжить · %s	Continue · %s
Промокод (если есть)	Promo code (if any)
Промокод не найден	Promo code not found
Промокод применён: −%s%%	Promo code applied: −%s%%
Процент	Percent
Пустой ответ сервера	Empty server response
Радиус бесплатной доставки, км (0 — выключено)	Free delivery radius, km (0 — off)
Размер наклейки	Label size
Размер наклейки:	Label size:
Размер подписей во всём приложении на этом устройстве. На печать чеков и этикеток не влияет.	Text size across the whole app on this device. Does not affect receipt or label printing.
Размер текста	Text size
Размер чека	Receipt size
Размер чека: %s мм	Receipt size: %s mm
Разница	Difference
Разница, сумма	Difference, amount
Разница, шт	Difference, pcs
Разница: 	Difference: 
Разрешить доступ	Allow access
Разрешить камеру	Allow camera
Распечатать чек	Print receipt
Расход	Expense
Расход записан	Expense recorded
Расход изменён	Expense updated
Расход отменён	Expense cancelled
Расходов нет	No expenses
Расходы	Expenses
Расходы за период	Expenses for the period
Расхождений нет.	No discrepancies.
Расхождения	Discrepancies
Регистрация	Sign up
Роль	Role
Рулон	Roll
Сводка	Summary
Сводка %s	Summary %s
Сдача	Change
Сдача:	Change:
Сдача: %s	Change: %s
Себестоимость	Cost price
Сегодня	Today
Сейчас: 	Now: 
Сервер временно недоступен. Попробуйте ещё раз.	The server is temporarily unavailable. Try again.
Сервер не вернул клиента	The server did not return the customer
Сервер не вернул сохранённый товар	The server did not return the saved item
Сервер не отвечает. Попробуйте ещё раз.	The server is not responding. Try again.
Сервер отклонил документ	The server rejected the document
Сервер применит расхождения к остаткам склада.	The server will apply the discrepancies to stock.
Сессия истекла. Войдите заново.	Session expired. Sign in again.
Сети нет — чек сохранён и уйдёт на сервер сам, как только связь появится.	No network — the receipt is saved and will go to the server itself as soon as there is a connection.
Система	System
Сканирование	Scanning
Сканировать	Scan
Сканировать QR чека	Scan receipt QR
Сканировать заново	Scan again
Сканировать код	Scan code
Сканировать штрихкод	Scan barcode
Скидка	Discount
Скидка · %s	Discount · %s
Скидка на позицию	Line discount
Скидка на чек	Receipt discount
Скидка применится на странице оплаты	The discount will be applied on the payment page
Скидка, %	Discount, %
Скидка, %:	Discount, %:
Скидка, сумма	Discount, amount
Скидка, сумма:	Discount, amount:
Сколько наклеек: %s	How many labels: %s
Скоро истекает срок	Expiring soon
Скрыто	Hidden
Скрыты из продажи	Hidden from sale
Смешанно	Mixed
Смотреть все продажи и товары	View all sales and items
Снять	Remove
Создан	Created
Создать	Create
Создать категорию	Create category
Состав документа	Document contents
Состав заказа · %s	Order contents · %s
Состав чека сервер не прислал	The server did not send the receipt contents
Сотрудник	Employee
Сотрудник · ключ	Employee · key
Сотрудник создан	Employee created
Сотрудники	Employees
Сотрудников пока нет. Добавьте первого кнопкой выше.	No employees yet. Add the first one with the button above.
Сохранено	Saved
Сохранить	Save
Сохранить изменения	Save changes
Сохранить пароль	Save password
Сохранить приход	Save stock-in
Сохраняем…	Saving…
Спаренных устройств нет. Включите принтер и сопрягите его в настройках Bluetooth — потом вернитесь сюда.	No paired devices. Turn the printer on and pair it in Bluetooth settings — then come back here.
Спасибо за отзыв!	Thanks for your review!
Списание	Write-off
Списание отменено, товар вернулся на склад	Write-off cancelled, the item is back in stock
Списание появится после обновления серверной части.	Write-off will appear after the server side is updated.
Списание товара	Item write-off
Списаний за период не было	No write-offs for the period
Списано единиц	Units written off
Списать	Write off
Список	List
Список клиентов	Customer list
Список поставщиков	Supplier list
Список пуст. Наведите камеру на штрихкод.	The list is empty. Point the camera at a barcode.
Список сотрудников не загрузился. Проверьте соединение.	The employee list did not load. Check your connection.
Список устройств не загрузился. Проверьте соединение.	The device list did not load. Check your connection.
Способ получения	Fulfilment method
Справочник	Directory
Справочник ещё не загружен — закрытия долгов приедут вместе с ним.	The directory has not loaded yet — debt repayments will arrive with it.
Среднее	Average
Средний	Medium
Средний чек	Average receipt
Срок годности	Expiry date
Срок годности вышел	Expiry date passed
Срок годности: не указан	Expiry date: not set
Ссылка магазина	Shop link
Ссылка на оплату ещё не настроена. Напишите в поддержку.	The payment link is not set up yet. Write to support.
Ссылка на оплату ещё не настроена. Обратитесь в поддержку.	The payment link is not set up yet. Contact support.
Старый ключ «%s» перестанет работать немедленно, 	The old key "%s" will stop working immediately, 
Старый ключ перестанет работать сразу: сотрудник останется без входа, пока не получит новый.	The old key stops working right away: the employee cannot sign in until they get a new one.
Стат	Stats
Статистика	Statistics
Статус	Status
Статус: в долге	Status: in debt
Статус: оплачено %s из %s	Status: paid %s of %s
Стоимость	Value
Стоимость склада по закупке	Stock value at cost price
Стоимость склада по продаже	Stock value at sale price
Строк	Rows
Сумма	Amount
Сумма возврата	Return amount
Сумма возвратов	Returns amount
Сумма закупки	Purchase amount
Сумма оплаты (долг %s)	Payment amount (debt %s)
Сумма по всем непогашенным чекам	Total of all unpaid receipts
Сумма прихода	Stock-in amount
Сумма приходов	Stock-ins amount
Сумма продажи	Sale amount
Сумма расхода	Expense amount
Сумма расхождения: 	Discrepancy amount: 
Сумма склада	Stock value
Сумма чека	Receipt total
Сумма:	Amount:
Сумма: 	Amount: 
Суммы без буквенного кода	Amounts without a currency code
Так будет выглядеть текст в приложении.	This is how text will look in the app.
Такой код уже есть	This code already exists
Тариф ограничивает только число сотрудников в веб-версии. Товары, статистика, долги, клиенты и другие разделы работают без ограничений.	The plan limits only the number of employees in the web version. Items, statistics, debts, customers and other sections work without limits.
Тариф ограничивает только число сотрудников. Товары, статистика и остальные разделы — без ограничений.	The plan limits only the number of employees. Items, statistics and the other sections have no limits.
Текущие категории магазина	Current shop categories
Телефон	Phone
Телефон (необязательно)	Phone (optional)
Телефон не указан	No phone
Тема оформления	Theme
Товар	Item
Товар #%s	Item #%s
Товар в архиве	Item archived
Товар вернулся в продажу	The item is back on sale
Товар вернётся на склад, документ останется в истории с пометкой «отменён». Отменить можно только в день списания.	The item returns to stock, the document stays in history marked "cancelled". You can only cancel on the day of the write-off.
Товар вернётся на склад.	The item will return to stock.
Товар заканчивается	Item running low
Товар с кодом %s не найден	No item found with code %s
Товар с таким кодом не найден	No item found with this code
Товар создан	Item created
Товар создан, приход проведён	Item created, stock-in posted
Товар сохранён, но приход не прошёл: 	Item saved, but the stock-in failed: 
Товар списан, склад уменьшен	Item written off, stock reduced
Товар уже в списке	Item already in the list
Товар №%s	Item №%s
Товаров	Items
Товаров без кода: %s. Каждому присвоим внутренний EAN-13. 	Items without a code: %s. Each will get an internal EAN-13. 
Товаров в документе нет. Добавьте их поиском или сканером.	There are no items in the document. Add them by search or scanner.
Товаров нет.	No items.
Товаров нет. Добавьте их во вкладке «Товары».	No items. Add them on the "Items" tab.
Товары	Items
Товары без штрихкода: %s	Items without a barcode: %s
Товары в чеке	Items in the receipt
Товары ещё не выбраны. Нажмите «Добавить товары» и отметьте всё, что стоит на полке.	No items selected yet. Tap "Add items" and tick everything on the shelf.
Товары из Excel	Items from Excel
Товары категории	Category items
Товары не выбраны	No items selected
Топ-10 за %s	Top 10 for %s
Точка не задана — нажмите на карту.	No point set — tap the map.
Требуется подписка.	A subscription is required.
У этого устройства нет Bluetooth. Чеки будут печататься через системный диалог Android.	This device has no Bluetooth. Receipts will print via the Android system dialog.
Убрать	Remove
Убрать из документа	Remove from document
Убрать клиента	Remove customer
Убрать точку	Remove point
Убыток по себестоимости	Loss at cost price
Убыток: 	Loss: 
Уведомления	Notifications
Удалено: %s	Deleted: %s
Удалить	Delete
Удалить код	Delete code
Удалить чек	Delete receipt
Удалить чек %s?	Delete receipt %s?
Удалён	Deleted
Уже существующие коды не тронем.	Existing codes will not be touched.
Уйдут сами при появлении связи	They will send themselves once there is a connection
Укажите количество хотя бы по одной позиции	Enter a quantity for at least one line
Укажите количество хотя бы по одному товару	Enter a quantity for at least one item
Укажите количество — здесь появится образец наклейки.	Enter a quantity — a label preview will appear here.
Укажите сумму	Enter an amount
Укажите цену продажи — по ней товар будет продаваться.	Enter the sale price — the item will be sold at it.
Укажите, сколько наклеек напечатать	Enter how many labels to print
Установлена устаревшая версия приложения. Обновите его в Google Play, чтобы продолжить работу.	An outdated version of the app is installed. Update it in Google Play to continue.
Устройств нет — ключ ещё нигде не активирован.	No devices — the key has not been activated anywhere yet.
Устройства	Devices
Устройство	Device
Устройство отвязано	Device unlinked
Учёт	Accounting
Учёт, %s	Accounting, %s
Ушло на сервер: 	Sent to server: 
Факт	Actual
Фактически	Actual
Цвет	Color
Цена	Price
Цена доставки (0 — бесплатно)	Delivery price (0 — free)
Цена прихода	Stock-in price
Цена прихода: 	Stock-in price: 
Цена продажи	Sale price
Цены и остаток	Prices and stock
Цифры кода под полосками	Code digits under the bars
Частично	Partly
Частичный возврат	Partial return
Чат с командой FonRo	Chat with the FonRo team
Чек	Receipt
Чек 	Receipt 
Чек #%s	Receipt #%s
Чек %s. Позиций: %s. 	Receipt %s. Lines: %s. 
Чек / товары	Receipt / items
Чек вернулся в кассу	The receipt is back at the till
Чек исчезнет с устройства и на сервер больше не попадёт: продажи в отчётах магазина не будет, а списанный остаток останется списанным. Удаляйте только тот чек, который сервер уже отверг по существу.	The receipt will disappear from the device and will never reach the server: the sale will not appear in shop reports, and the deducted stock will stay deducted. Only delete a receipt that the server has already rejected on the merits.
Чек не найден. Проверьте номер.	Receipt not found. Check the number.
Чек отложен — касса свободна	Receipt parked — the till is free
Чек отправлен на принтер	Receipt sent to the printer
Чек пуст	The receipt is empty
Чек удалён из очереди	Receipt removed from the queue
Чек уходит на принтер, как только продажа проведена	The receipt goes to the printer as soon as the sale is posted
Чек №%s	Receipt №%s
Чеки, которые ждут связи	Receipts waiting for a connection
Чеки, которые ждут связи с сервером	Receipts waiting for a connection to the server
Чеки, которые не удалось отправить на сервер, хранятся на этом устройстве и уйдут сами, как только появится связь. Продажа уже проведена: остаток списан, чек можно печатать.\n\nПовторная отправка безопасна — сервер узнаёт номер чека и не проводит его дважды.	Receipts that could not be sent to the server are kept on this device and will send themselves once there is a connection. The sale is already posted: stock is deducted and the receipt can be printed.\n\nResending is safe — the server recognises the receipt number and does not post it twice.
Чеков	Receipts
Что за товар	What the item is
Чтобы продолжать проводить приход — выберите тариф.	To keep posting stock-ins, choose a plan.
Чтобы продолжать продавать — выберите тариф.	To keep selling, choose a plan.
Чтобы прочитать штрихкод, разрешите приложению доступ к камере.	To read a barcode, allow the app to use the camera.
Чтобы увидеть список принтеров, нужен доступ к устройствам поблизости.	To see the list of printers, access to nearby devices is needed.
Чёрный / 64 GB	Black / 64 GB
Шаг продажи	Sale step
Ширина ленты	Tape width
Ширина ленты вашего термопринтера. Влияет на печать чеков с этого устройства.	The tape width of your thermal printer. Affects receipt printing from this device.
Ширина ленты, автопечать и выбор Bluetooth-принтера	Tape width, auto-print and Bluetooth printer choice
Штрихкод	Barcode
Штрихкод %s не найден	Barcode %s not found
Штрихкод подставлен	Barcode filled in
Штрихкода нет	No barcode
Штрихкодов: %s	Barcodes: %s
Штрихкоды	Barcodes
Штук	Pcs
Штучный товар: продаётся целыми единицами.	Unit item: sold in whole units.
Эти цифры создадут приход — он появится на странице «Приход».	These figures will create a stock-in — it will appear on the "Stock-in" page.
Этикетки FonRo	FonRo labels
Этикетки отправлены на принтер	Labels sent to the printer
Это устройство	This device
Это устройство не умеет Bluetooth	This device does not support Bluetooth
Этот код уже у товара «%s»	This code already belongs to item "%s"
Этот чек уже был проведён — повторно не списываем	This receipt has already been posted — no second deduction
Я оплатил — обновить	I have paid — refresh
Язык интерфейса	Interface language
Язык кассы на этом устройстве. На чеки и этикетки не влияет.	Till language on this device. Does not affect receipts or labels.
Язык каталога	Catalogue language
а все его устройства потеряют доступ. Новый ключ надо будет передать лично.	and all their devices will lose access. The new key will have to be handed over in person.
автор не указан	author not specified
админ	admin
адрес не настроен	address not set
активен	active
в документе	in the document
в долг	on credit
введите 6-значный код	enter the 6-digit code
витрину	storefront
включён	on
владелец	owner
возвраты %s на %s	returns %s for %s
вс	Sun
вт	Tue
выключен	off
заказ	order
карта	card
касса	till
кассир	cashier
категория	category
клиент	customer
магазин	shop
менеджер	manager
мобильная касса магазина	the shop's mobile till
мы отправили код на %s	we sent a code to %s
на %s. 	for %s. 
на складе: 	in stock: 
найдено по запросу	found for the query
наклеек	label
наклейка	label
наклейки	label
наличные	cash
напр. Аренда	e.g. Rent
настройки	settings
не выбран	not selected
необязательно	optional
нет кода	no code
нет сети · продажи сохраняются	no network · sales are being saved
нет сети · чеков в очереди: %s	no network · receipts in queue: %s
новый магазин в FonRo	a new shop in FonRo
остаток, шт	stock, pcs
остаток: %s %s	stock: %s %s
отключён	disconnected
отменён  	cancelled  
отправляем чеки: %s	sending receipts: %s
пн	Mon
позиции	line
позиций	line
позиция	line
позиция #%s	line #%s
помидоры с базара, не продались…	tomatoes from the market, didn't sell…
попытка	attempt
попытки	attempt
попыток	attempt
прибыль %s	profit %s
придумайте новый пароль	create a new password
принтер не отвечает	printer not responding
приход	stock-in
прихода	stock-in
приходов	stock-in
пришлём код на вашу почту	we'll send a code to your email
проведён	posted
продаж	sale
продажа	sale
продажи	sale
прочее	other
пт	Fri
расход	expense
сб	Sat
сегодня	today
сотрудник	employee
сотрудника	employee
сотрудников	employee
ср	Wed
стандарт — как в iOS по умолчанию	standard — like the iOS default
сум/мес	sum/month
считаем по чекам…	counting by receipts…
телефон не указан	no phone
товар	item
товара	item
товаров	item
уже есть	already exists
уже не в магазине	no longer at the shop
узкая лента	narrow tape
указать	set
чек	receipt
чека	receipt
чеков	receipt
чт	Thu
широкая лента	wide tape
шт	pcs
…и ещё %s	…and %s more
← Назад ко входу	← Back to sign-in
← Уже есть аккаунт? Войти	← Already have an account? Sign in
⚙️ Настройки магазина	⚙️ Shop settings
✅ Точка задана	✅ Point set
✏️ Изменить ответ	✏️ Edit reply
✓ Подтвердить	✓ Confirm
⭐ FonRo Премиум	⭐ FonRo Premium
⭐ Отзывы	⭐ Reviews
＋ Списать товар	＋ Write off item
🌐 Онлайн-магазин 	🌐 Online shop 
🎟 Промокод %s: −%s%%	🎟 Promo code %s: −%s%%
🏬 Отзыв о магазине	🏬 Shop review
🏬 Самовывоз	🏬 Pickup
💬 Ответить	💬 Reply
💱 Валюта витрины	💱 Storefront currency
💵 В кассу	💵 To the till
📍 Локация магазина	📍 Shop location
📤 Поделиться	📤 Share
🔒 Бесплатный период закончился	🔒 The free period has ended
🔗 Адрес витрины	🔗 Storefront address
🗓 Календарь	🗓 Calendar
🗓 Месяц	🗓 Month
🚗 Доставка	🚗 Delivery
🚚 Доставка	🚚 Delivery
🚚 Магазин доставляет заказы	🚚 The shop delivers orders
🧭 Открыть	🧭 Open
🧾 Чеки	🧾 Receipts
Аудит доступен сотрудникам с правом «Аудит». Историю проверок видно всем.	Stocktake is available to employees with the "Stocktake" right. The stocktake history is visible to everyone.
Аудитов пока не было. Нажмите «Начать аудит».	There have been no stocktakes yet. Tap "Start stocktake".
Аудитов по этому товару не было.	There have been no stocktakes for this item.
Аудит проведён	Stocktake completed
Провести аудит?	Post the stocktake?
Нет права на аудит	No right to run a stocktake
Новый аудит	New stocktake
Начать аудит	Start stocktake
Введите сумму оплаты	Enter the payment amount
Внесено сейчас	Paid now
Нет доступа для этого действия.	You do not have access for this action.
Оплата меньше суммы чека	Payment is less than the receipt total
Отложенные	On hold
Подставить сумму	Fill in the amount
Провести продажу	Complete the sale
Провести продажу?	Complete the sale?
Скидка на чек снята: стоят скидки на позиции	Receipt discount removed: item discounts are set
Скидка съедает весь чек — к оплате 0	The discount covers the whole receipt — nothing to pay
Скидки на позиции	Item discounts
Сумма картой	Card amount
Уже стоят скидки на позиции	Item discounts are already set
Чем внесли сейчас	How it was paid now
Мой доступ	My access
Доступ	Access
Открыть всё	Show everything
Доступ открыт полностью	Full access restored
Скрыто разделов:	Sections hidden:
скрыто разделов:	sections hidden:
открыто всё	everything is visible
Управление	Management
нельзя скрыть: отсюда всё и возвращается	cannot be hidden: this is where you turn everything back on
Выключите разделы, которые не хотите показывать. Вы остаётесь владельцем — вернуть всё можно в один тап. Настройка действует на всех ваших устройствах.	Turn off the sections you do not want to show. You are still the owner — one tap brings everything back. The setting applies to all your devices.
Спрячьте разделы на время показа — вы остаётесь владельцем	Hide sections while you demo — you are still the owner
Виден	Visible
Скрыт	Hidden
Настройка сохранена	Setting saved
скрыто разделов: %s	sections hidden: %s
Скрыто разделов: %s	Sections hidden: %s
