 · «%s»: владелец + 	 · «%s»: иесі + 
Нет соединения с сервером. Проверьте интернет.	Сервермен байланыс жоқ. Интернетті тексеріңіз.
Нечего печатать: не выбран ни один товар	Басып шығаратын ештеңе жоқ: бірде-бір тауар таңдалмаған
Никого не нашлось	Ешкім табылмады
Ничего не найдено	Ештеңе табылмады
Ничего не найдено.	Ештеңе табылмады.
Ничего не найдено. Проверьте название или штрихкод.	Ештеңе табылмады. Атауын немесе штрих-кодты тексеріңіз.
Ничего не отмечено	Ештеңе белгіленбеген
Новая инвентаризация	Жаңа түгендеу
Новая категория	Жаңа санат
Новые	Жаңалар
Новые заказы	Жаңа тапсырыстар
Новые заказы с онлайн-витрины	Онлайн-витринадан жаңа тапсырыстар
Новый	Жаңа
Новый возврат	Жаңа қайтару
Новый клиент	Жаңа клиент
Новый ключ выпущен — передайте его сотруднику	Жаңа кілт шығарылды — оны қызметкерге беріңіз
Новый код	Жаңа код
Новый пароль	Жаңа құпиясөз
Новый пароль (минимум 6 символов)	Жаңа құпиясөз (кемінде 6 таңба)
Новый поставщик	Жаңа жеткізуші
Новый приход	Жаңа кіріс
Новый расход	Жаңа шығыс
Новый сотрудник	Жаңа қызметкер
Новый товар	Жаңа тауар
Новый штрихкод	Жаңа штрих-код
Новых заказов нет	Жаңа тапсырыстар жоқ
Номер накладной	Жүкқұжат нөмірі
Номер чека	Чек нөмірі
Обновите FonRo	FonRo жаңартыңыз
Обновить	Жаңарту
Оборот по приходам	Кірістер бойынша айналым
Общий долг	Жалпы қарыз
Объём	Көлем
Один ключ доступа работает на ограниченном числе устройств. Отвязка освобождает слот: на отвязанном телефоне вход перестанет работать сразу, а на этом останется как есть.	Бір кіру кілті шектеулі санды құрылғыда жұмыс істейді. Ажырату слотты босатады: ажыратылған телефонда кіру бірден тоқтайды, ал бұнда бұрынғыдай қалады.
Онлайн	Онлайн
Онлайн-магазин	Онлайн-дүкен
Описание для покупателей	Сатып алушыларға арналған сипаттама
Опишите вопрос или проблему — ответим прямо здесь. Переписку видите только вы и поддержка.	Сұрағыңызды немесе мәселеңізді жазыңыз — осында жауап береміз. Хат алмасуды тек сіз және қолдау қызметі көреді.
Оплат ещё не было	Әзірге төлемдер болмаған
Оплата	Төлем
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту и нажмите ещё раз.	Төлем әзірге расталмаған. Жаңа ғана төлеген болсаңыз — бір минут күтіп, тағы басыңыз.
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту.	Төлем әзірге расталмаған. Жаңа ғана төлеген болсаңыз — бір минут күтіңіз.
Оплачен	Төленді
Оплачено	Төленді
Оплачено 	Төленді 
Оплачено поставщику	Жеткізушіге төленді
Оплачено:	Төленді:
Основной штрихкод	Негізгі штрих-код
Осталось	Қалды
Останется долг:	Қарыз қалады:
Остаток	Қалдық
Остаток %s %s	Қалдық %s %s
Остаток ≤ %s · 	Қалдық ≤ %s · 
Остаток, шт	Қалдық, дана
Остаток: %s %s	Қалдық: %s %s
Ответ на отзыв	Пікірге жауап
Ответ покупателю	Сатып алушыға жауап
Ответ сохранён	Жауап сақталды
Ответы службы поддержки	Қолдау қызметінің жауаптары
Отвязать	Ажырату
Отвязать устройство?	Құрылғы ажыратылсын ба?
Отзывов пока нет	Әзірге пікірлер жоқ
Отключить принтер	Принтерді ажырату
Отключён	Өшірілген
Открыт	Ашық
Открытый	Ашық
Открытых долгов нет 🎉	Ашық қарыздар жоқ 🎉
Открыть чек	Чекті ашу
Отложенная отправка	Кейінге қалдырылған жіберу
Отложенные чеки	Кейінге қалдырылған чектер
Отложенные чеки отправлены	Кейінге қалдырылған чектер жіберілді
Отложенных чеков нет	Кейінге қалдырылған чектер жоқ
Отложить чек	Чекті кейінге қалдыру
Отмена	Болдырмау
Отменить	Болдырмау
Отменить заказ	Тапсырысты болдырмау
Отменить заказ?	Тапсырысты болдырмайсыз ба?
Отменить подписку	Жазылымды болдырмау
Отменить подписку?	Жазылымды болдырмайсыз ба?
Отменить расход	Шығысты болдырмау
Отменить расход?	Шығысты болдырмайсыз ба?
Отменить списание	Есептен шығаруды болдырмау
Отменить списание?	Есептен шығаруды болдырмайсыз ба?
Отменён	Болдырылмады
Отменённые	Болдырылмағандар
Отметьте «Верно» или внесите фактический остаток.	«Дұрыс» деп белгілеңіз немесе нақты қалдықты енгізіңіз.
Отметьте хотя бы один товар	Кемінде бір тауарды белгілеңіз
Отмечено · %s из %s	Белгіленді · %s / %s
Отмечено: 	Белгіленді: 
Отправить	Жіберу
Отправить код ещё раз	Кодты қайта жіберу
Отправить сейчас	Қазір жіберу
Отправка отложенных чеков	Кейінге қалдырылған чектерді жіберу
Отправлено: 	Жіберілді: 
Отправляем код…	Код жіберілуде…
Отправляем…	Жіберілуде…
Отсканированные товары	Сканерленген тауарлар
Оформить подписку	Жазылым рәсімдеу
Оформление кассы на этом устройстве. На печать чеков и этикеток не влияет.	Осы құрылғыдағы касса безендірілуі. Чектер мен затбелгілерді басып шығаруға әсер етпейді.
Оформление локальной продажи	Жергілікті сатылымды рәсімдеу
Очередь пуста — ни одна продажа не потерялась.	Кезек бос — бірде-бір сатылым жоғалған жоқ.
Очистить	Тазалау
Очистить чек?	Чекті тазалайсыз ба?
Ошибка	Қате
Ошибка сервера (%s)	Сервер қатесі (%s)
Пара слов о магазине	Дүкен туралы бірер сөз
Параметр 1	Параметр 1
Параметр 2	Параметр 2
Пароли не совпадают.	Құпия сөздер сәйкес келмейді.
Пароль	Құпия сөз
Пароль (минимум 6 символов)	Құпия сөз (кемінде 6 таңба)
Пароль должен быть минимум 6 символов.	Құпия сөз кемінде 6 таңбадан тұруы керек.
Пароль обновлён. Войдите с новым паролем.	Құпия сөз жаңартылды. Жаңа құпия сөзбен кіріңіз.
Первичная оплата	Бастапқы төлем
Перевыпустить ключ	Кілтті қайта шығару
Перенос заказа очистит корзину и положит в неё товары заказа.	Тапсырысты көшіру себетті тазалап, оған тапсырыс тауарларын салады.
Переносить нечего: этих товаров нет в каталоге или нет на складе	Көшіретін ештеңе жоқ: бұл тауарлар каталогта жоқ немесе қоймада жоқ
Печатаем…	Басып шығарылуда…
Печатать чек сразу после продажи	Сатылымнан кейін чекті бірден басып шығару
Печать	Басып шығару
Печать доступна только при открытом приложении	Басып шығару тек қосымша ашық тұрғанда қолжетімді
Печать штрихкодов	Штрих-кодтарды басып шығару
По количеству	Саны бойынша
По ней считается, сколько знаков влезает в строку чека	Соның бойынша чек жолына қанша таңба сиятыны есептеледі
По одной	Бір-бірден
По сумме	Сома бойынша
По этой позиции возвращать нечего	Бұл позиция бойынша қайтаратын ештеңе жоқ
Повторите пароль	Құпия сөзді қайталаңыз
Повторить	Қайталау
Погашение долга	Қарызды өтеу
Погашений долга не было.	Қарыз өтеулері болған жоқ.
Погашено	Өтелді
Подарок от FonRo	FonRo сыйлығы
Поддержка	Қолдау
Поддержка FonRo	FonRo қолдау қызметі
Поделитесь ссылкой магазина с покупателями.	Дүкен сілтемесін сатып алушылармен бөлісіңіз.
Поделиться ссылкой	Сілтемемен бөлісу
Подписка активна	Жазылым белсенді
Подписка активна. Спасибо!	Жазылым белсенді. Рақмет!
Подписка возобновлена	Жазылым жалғастырылды
Подписка отменена	Жазылым болдырылмады
Подписка отменена. Доступ — до конца периода.	Жазылым болдырылмады. Қолжетімділік — кезең соңына дейін.
Подпиской магазина распоряжается владелец.	Дүкен жазылымын иесі басқарады.
Подтвердить	Растау
Подтверждён	Расталды
Подытог	Аралық сома
Позиции не переданы сервером.	Позицияларды сервер жіберген жоқ.
Позиции проверки	Тексеру позициялары
Позиции чека	Чек позициялары
Позиций	Позиция
Позиций: %s	Позиция: %s
Позиций: %s. Разница %s 	Позиция: %s. Айырма %s 
Поиск	Іздеу
Поиск в каталоге…	Каталогтан іздеу…
Поиск клиента	Клиент іздеу
Поиск по долгам	Қарыздар бойынша іздеу
Поиск по имени или телефону	Аты немесе телефоны бойынша іздеу
Поиск по названию, телефону или заметке	Атауы, телефоны немесе жазбасы бойынша іздеу
Поиск среди выбранных	Таңдалғандар арасынан іздеу
Поиск товара или кода	Тауар немесе код іздеу
Поиск товара, артикула или кода	Тауар, артикул немесе код іздеу
Поиск товара, кода или артикула	Тауар, код немесе артикул іздеу
Поиск товара, штрихкод	Тауар іздеу, штрих-код
Пока не получилось. Чеки останутся в очереди и уйдут сами, как только появится связь.	Әзірге болмады. Чектер кезекте қалады және байланыс пайда болған бойда өздері жөнеледі.
Показаны первые %s из %s — уточните поиск.	Алғашқы %s көрсетілді (барлығы %s) — іздеуді нақтылаңыз.
Показаны последние %s из %s —	Соңғы %s көрсетілді (барлығы %s) —
Показатели магазина скрыты правами доступа.	Дүкен көрсеткіштері қатынау құқықтарымен жасырылған.
Показать	Көрсету
Показать ещё (%s)	Тағы көрсету (%s)
Показать товары категории	Санат тауарларын көрсету
Покупатели смогут оставлять отзывы на витрине.	Сатып алушылар витринада пікір қалдыра алады.
Покупатели увидят все цены на витрине в этой валюте.	Сатып алушылар витринадағы барлық бағаны осы валютада көреді.
Покупатели увидят это на странице «О магазине» витрины вместе с адресом, телефоном и отзывами.	Сатып алушылар мұны витринаның «Дүкен туралы» бетінде мекенжаймен, телефонмен және пікірлермен бірге көреді.
Покупатель	Сатып алушы
Покупатель увидит отмену заказа %s. 	Сатып алушы %s тапсырысының болдырылмағанын көреді. 
Покупки в долг	Қарызға сатып алулар
Покупок у этого клиента ещё не было.	Бұл клиенттің сатып алулары әлі болған жоқ.
Политика конфиденциальности	Құпиялылық саясаты
Полный возврат	Толық қайтару
Полный доступ	Толық қатынау
Получено	Алынды
Получено долгов	Алынған қарыздар
Получено меньше суммы чека	Чек сомасынан аз алынды
Получено наличными	Қолма-қол алынды
Получено:	Алынды:
Получить код	Код алу
Порог «мало на складе»	«Қоймада аз» шегі
Порог сохранён: %s шт	Шек сақталды: %s дана
Порча, бой, просрочка — товар уходит со склада	Бүліну, сыну, мерзімнің өтуі — тауар қоймадан шығады
После создания сотрудник получит ключ доступа — по нему он войдёт в приложение на своём телефоне.	Құрылғаннан кейін қызметкер қатынау кілтін алады — сол арқылы ол өз телефонындағы қосымшаға кіреді.
Поставщик	Жеткізуші
Поставщик добавлен	Жеткізуші қосылды
Поставщик:	Жеткізуші:
Поставщики	Жеткізушілер
Поставщики и оборот по приходам	Жеткізушілер және кірістер бойынша айналым
Поставщиков	Жеткізуші
Поставщиков в справочнике	Анықтамалықтағы жеткізушілер
Поставщиков нет — добавьте их в разделе «Поставщики».	Жеткізушілер жоқ — оларды «Жеткізушілер» бөлімінде қосыңыз.
Поставщиков пока нет — добавьте первого.	Жеткізушілер әзірге жоқ — біріншісін қосыңыз.
Почему чек здесь	Чек неге осында
Прав выдано	Берілген құқықтар
Права доступа	Қатынау құқықтары
Права не выданы.	Құқықтар берілмеген.
Права обновлены	Құқықтар жаңартылды
Правовая информация	Құқықтық ақпарат
Премиум активен. Спасибо!	Премиум белсенді. Рақмет!
Прибыль	Пайда
Прибыль %s	Пайда %s
Прибыль по дням	Күндер бойынша пайда
Прибыль по часам	Сағаттар бойынша пайда
Прибыль после расходов	Шығыстардан кейінгі пайда
Приложение	Қосымша
Применить	Қолдану
Принимаем…	Қабылдануда…
Принтер	Принтер
Принтер «%s» выбран	«%s» принтері таңдалды
Принтер выбран неверно. Выберите его заново.	Принтер дұрыс таңдалмаған. Оны қайта таңдаңыз.
Принтер не отвечает. Проверьте, включён ли он и рядом ли.	Принтер жауап бермейді. Оның қосулы және жақын екенін тексеріңіз.
Принтер отключён. Чеки пойдут в системную печать.	Принтер өшірілген. Чектер жүйелік басып шығаруға жіберіледі.
Принтер чеков	Чек принтері
Принял	Қабылдады
Принял: %s	Қабылдады: %s
Принято. Остаток: %s	Қабылданды. Қалдық: %s
Принято: %s	Қабылданды: %s
Принять	Қабылдау
Принять:	Қабылдау:
Приход	Кіріс
Приход · 	Кіріс · 
Приход без привязки к контрагенту	Контрагентке байланыссыз кіріс
Приход доступен сотрудникам с правом «Приход».	Кіріс «Кіріс» құқығы бар қызметкерлерге қолжетімді.
Приход не проведён	Кіріс өткізілмеді
Приход недоступен	Кіріс қолжетімсіз
Приход проведён	Кіріс өткізілді
Приходов	Кіріс
Приходов от этого поставщика ещё не было.	Бұл жеткізушіден кірістер әлі болған жоқ.
Приходов по этому товару нет.	Бұл тауар бойынша кірістер жоқ.
Приходов пока нет.	Кірістер әзірге жоқ.
Приходы от поставщика	Жеткізушіден кірістер
Причина	Себеп
Причина списания	Есептен шығару себебі
Причина: %s	Себеп: %s
Причину он тоже прочитает — напишите её понятно.	Себепті де ол оқиды — оны түсінікті жазыңыз.
Пробная печать	Сынама басып шығару
Проверил	Тексерді
Проверка	Тексеру
Проверок	Тексеру
Проверьте соединение и обновите.	Байланысты тексеріп, жаңартыңыз.
Проверяем…	Тексерілуде…
Провести	Өткізу
Провести · %s	Өткізу · %s
Провести возврат?	Қайтаруды өткізесіз бе?
Провести инвентаризацию?	Түгендеуді өткізесіз бе?
Проводим…	Өткізілуде…
Провёл: %s	Өткізді: %s
Продаж	Сатылым
Продаж за период нет	Кезең ішінде сатылым жоқ
Продаж за период нет.	Кезең ішінде сатылым жоқ.
Продаж нет · %s	Сатылым жоқ · %s
Продажа	Сатылым
Продажа недоступна	Сатылым қолжетімсіз
Продажа проведена · %s	Сатылым өткізілді · %s
Продажи	Сатылымдар
Продажи в долг	Қарызға сатылымдар
Продажи за 7 дней	7 күндегі сатылымдар
Продажи по дням	Күндер бойынша сатылымдар
Продажи по часам	Сағаттар бойынша сатылымдар
Продажи, количество	Сатылымдар, саны
Продажи, сумма	Сатылымдар, сомасы
Продал: %s	Сатты: %s
Проданные товары	Сатылған тауарлар
Проданные чеки	Сатылған чектер
Проданный чек	Сатылған чек
Продано	Сатылды
Продаёте дешевле закупки — проверьте цены.	Сатып алу бағасынан арзан сатып жатырсыз — бағаларды тексеріңіз.
Продолжить · %s	Жалғастыру · %s
Промокод (если есть)	Промокод (болса)
Промокод не найден	Промокод табылмады
Промокод применён: −%s%%	Промокод қолданылды: −%s%%
Процент	Пайыз
Пустой ответ сервера	Сервердің бос жауабы
Радиус бесплатной доставки, км (0 — выключено)	Тегін жеткізу радиусы, км (0 — өшірулі)
Размер наклейки	Жапсырма өлшемі
Размер наклейки:	Жапсырма өлшемі:
Размер подписей во всём приложении на этом устройстве. На печать чеков и этикеток не влияет.	Осы құрылғыдағы бүкіл қосымшадағы жазулар өлшемі. Чектер мен затбелгілерді басып шығаруға әсер етпейді.
Размер текста	Мәтін өлшемі
Размер чека	Чек өлшемі
Размер чека: %s мм	Чек өлшемі: %s мм
Разница	Айырма
Разница, сумма	Айырма, сомасы
Разница, шт	Айырма, дана
Разница: 	Айырма: 
Разрешить доступ	Қатынауға рұқсат беру
Разрешить камеру	Камераға рұқсат беру
Распечатать чек	Чекті басып шығару
Расход	Шығыс
Расход записан	Шығыс жазылды
Расход изменён	Шығыс өзгертілді
Расход отменён	Шығыс болдырылмады
Расходов нет	Шығыстар жоқ
Расходы	Шығыстар
Расходы за период	Кезең ішіндегі шығыстар
Расхождений нет.	Алшақтықтар жоқ.
Расхождения	Алшақтықтар
Регистрация	Тіркелу
Роль	Рөл
Рулон	Орам
Сводка	Жиынтық
Сводка %s	Жиынтық %s
Сдача	Қайтарым
Сдача:	Қайтарым:
Сдача: %s	Қайтарым: %s
Себестоимость	Өзіндік құн
Сегодня	Бүгін
Сейчас: 	Қазір: 
Сервер временно недоступен. Попробуйте ещё раз.	Сервер уақытша қолжетімсіз. Қайта көріңіз.
Сервер не вернул клиента	Сервер клиентті қайтармады
Сервер не вернул сохранённый товар	Сервер сақталған тауарды қайтармады
Сервер не отвечает. Попробуйте ещё раз.	Сервер жауап бермейді. Қайта көріңіз.
Сервер отклонил документ	Сервер құжатты қабылдамады
Сервер применит расхождения к остаткам склада.	Сервер алшақтықтарды қойма қалдықтарына қолданады.
Сессия истекла. Войдите заново.	Сессия мерзімі бітті. Қайта кіріңіз.
Сети нет — чек сохранён и уйдёт на сервер сам, как только связь появится.	Желі жоқ — чек сақталды және байланыс пайда болған бойда серверге өзі жөнеледі.
Система	Жүйе
Сканирование	Сканерлеу
Сканировать	Сканерлеу
Сканировать QR чека	Чектің QR кодын сканерлеу
Сканировать заново	Қайта сканерлеу
Сканировать код	Кодты сканерлеу
Сканировать штрихкод	Штрих-кодты сканерлеу
Скидка	Жеңілдік
Скидка · %s	Жеңілдік · %s
Скидка на позицию	Позицияға жеңілдік
Скидка на чек	Чекке жеңілдік
Скидка применится на странице оплаты	Жеңілдік төлем бетінде қолданылады
Скидка, %	Жеңілдік, %
Скидка, %:	Жеңілдік, %:
Скидка, сумма	Жеңілдік, сомасы
Скидка, сумма:	Жеңілдік, сомасы:
Сколько наклеек: %s	Жапсырма саны: %s
Скоро истекает срок	Мерзімі жақында бітеді
Скрыто	Жасырылды
Скрыты из продажи	Сатылымнан жасырылған
Смешанно	Аралас
Смотреть все продажи и товары	Барлық сатылымдар мен тауарларды көру
Снять	Алу
Создан	Құрылды
Создать	Құру
Создать категорию	Санат құру
Состав документа	Құжат құрамы
Состав заказа · %s	Тапсырыс құрамы · %s
Состав чека сервер не прислал	Чек құрамын сервер жіберген жоқ
Сотрудник	Қызметкер
Сотрудник · ключ	Қызметкер · кілт
Сотрудник создан	Қызметкер құрылды
Сотрудники	Қызметкерлер
Сотрудников пока нет. Добавьте первого кнопкой выше.	Қызметкерлер әзірге жоқ. Жоғарыдағы түймемен біріншісін қосыңыз.
Сохранено	Сақталды
Сохранить	Сақтау
Сохранить изменения	Өзгерістерді сақтау
Сохранить пароль	Құпия сөзді сақтау
Сохранить приход	Кірісті сақтау
Сохраняем…	Сақталуда…
Спаренных устройств нет. Включите принтер и сопрягите его в настройках Bluetooth — потом вернитесь сюда.	Жұптастырылған құрылғылар жоқ. Принтерді қосып, оны Bluetooth параметрлерінде жұптаңыз — содан кейін осында оралыңыз.
Спасибо за отзыв!	Пікіріңіз үшін рақмет!
Списание	Есептен шығару
Списание отменено, товар вернулся на склад	Есептен шығару болдырылмады, тауар қоймаға оралды
Списание появится после обновления серверной части.	Есептен шығару сервер бөлігі жаңартылғаннан кейін пайда болады.
Списание товара	Тауарды есептен шығару
Списаний за период не было	Кезең ішінде есептен шығару болған жоқ
Списано единиц	Есептен шығарылған бірлік
Списать	Есептен шығару
Список	Тізім
Список клиентов	Клиенттер тізімі
Список поставщиков	Жеткізушілер тізімі
Список пуст. Наведите камеру на штрихкод.	Тізім бос. Камераны штрих-кодқа бағыттаңыз.
Список сотрудников не загрузился. Проверьте соединение.	Қызметкерлер тізімі жүктелмеді. Байланысты тексеріңіз.
Список устройств не загрузился. Проверьте соединение.	Құрылғылар тізімі жүктелмеді. Байланысты тексеріңіз.
Способ получения	Алу тәсілі
Справочник	Анықтамалық
Справочник ещё не загружен — закрытия долгов приедут вместе с ним.	Анықтамалық әлі жүктелмеді — қарыз жабулары онымен бірге келеді.
Среднее	Орташа
Средний	Орташа
Средний чек	Орташа чек
Срок годности	Жарамдылық мерзімі
Срок годности вышел	Жарамдылық мерзімі өтті
Срок годности: не указан	Жарамдылық мерзімі: көрсетілмеген
Ссылка магазина	Дүкен сілтемесі
Ссылка на оплату ещё не настроена. Напишите в поддержку.	Төлем сілтемесі әлі бапталмаған. Қолдау қызметіне жазыңыз.
Ссылка на оплату ещё не настроена. Обратитесь в поддержку.	Төлем сілтемесі әлі бапталмаған. Қолдау қызметіне хабарласыңыз.
Старый ключ «%s» перестанет работать немедленно, 	Ескі «%s» кілті дереу жұмысын тоқтатады, 
Старый ключ перестанет работать сразу: сотрудник останется без входа, пока не получит новый.	Ескі кілт бірден жұмысын тоқтатады: қызметкер жаңасын алғанша кіре алмайды.
Стат	Стат
Статистика	Статистика
Статус	Күй
Статус: в долге	Күйі: қарызда
Статус: оплачено %s из %s	Күйі: %s / %s төленді
Стоимость	Құны
Стоимость склада по закупке	Қойманың сатып алу бағасы бойынша құны
Стоимость склада по продаже	Қойманың сату бағасы бойынша құны
Строк	Жол
Сумма	Сома
Сумма возврата	Қайтару сомасы
Сумма возвратов	Қайтарулар сомасы
Сумма закупки	Сатып алу сомасы
Сумма оплаты (долг %s)	Төлем сомасы (қарыз %s)
Сумма по всем непогашенным чекам	Барлық өтелмеген чектер бойынша сома
Сумма прихода	Кіріс сомасы
Сумма приходов	Кірістер сомасы
Сумма продажи	Сатылым сомасы
Сумма расхода	Шығыс сомасы
Сумма расхождения: 	Алшақтық сомасы: 
Сумма склада	Қойма сомасы
Сумма чека	Чек сомасы
Сумма:	Сома:
Сумма: 	Сома: 
Суммы без буквенного кода	Әріптік кодсыз сомалар
Так будет выглядеть текст в приложении.	Қосымшадағы мәтін осылай көрінеді.
Такой код уже есть	Мұндай код бұрыннан бар
Тариф ограничивает только число сотрудников в веб-версии. Товары, статистика, долги, клиенты и другие разделы работают без ограничений.	Тариф тек веб-нұсқадағы қызметкерлер санын шектейді. Тауарлар, статистика, қарыздар, клиенттер және басқа бөлімдер шектеусіз жұмыс істейді.
Тариф ограничивает только число сотрудников. Товары, статистика и остальные разделы — без ограничений.	Тариф тек қызметкерлер санын шектейді. Тауарлар, статистика және қалған бөлімдер — шектеусіз.
Текущие категории магазина	Дүкеннің ағымдағы санаттары
Телефон	Телефон
Телефон (необязательно)	Телефон (міндетті емес)
Телефон не указан	Телефон көрсетілмеген
Тема оформления	Безендіру тақырыбы
Товар	Тауар
Товар #%s	Тауар #%s
Товар в архиве	Тауар мұрағатта
Товар вернулся в продажу	Тауар сатылымға оралды
Товар вернётся на склад, документ останется в истории с пометкой «отменён». Отменить можно только в день списания.	Тауар қоймаға оралады, құжат тарихта «болдырылмады» белгісімен қалады. Болдырмау тек есептен шығарылған күні ғана мүмкін.
Товар вернётся на склад.	Тауар қоймаға оралады.
Товар заканчивается	Тауар таусылып барады
Товар с кодом %s не найден	%s коды бар тауар табылмады
Товар с таким кодом не найден	Мұндай коды бар тауар табылмады
Товар создан	Тауар құрылды
Товар создан, приход проведён	Тауар құрылды, кіріс өткізілді
Товар сохранён, но приход не прошёл: 	Тауар сақталды, бірақ кіріс өтпеді: 
Товар списан, склад уменьшен	Тауар есептен шығарылды, қойма азайды
Товар уже в списке	Тауар тізімде бар
Товар №%s	Тауар №%s
Товаров	Тауар
Товаров без кода: %s. Каждому присвоим внутренний EAN-13. 	Кодсыз тауарлар: %s. Әрқайсысына ішкі EAN-13 береміз. 
Товаров в документе нет. Добавьте их поиском или сканером.	Құжатта тауарлар жоқ. Оларды іздеу немесе сканер арқылы қосыңыз.
Товаров нет.	Тауарлар жоқ.
Товаров нет. Добавьте их во вкладке «Товары».	Тауарлар жоқ. Оларды «Тауарлар» қойындысында қосыңыз.
Товары	Тауарлар
Товары без штрихкода: %s	Штрих-кодсыз тауарлар: %s
Товары в чеке	Чектегі тауарлар
Товары ещё не выбраны. Нажмите «Добавить товары» и отметьте всё, что стоит на полке.	Тауарлар әлі таңдалмаған. «Тауар қосу» түймесін басып, сөреде тұрғанның бәрін белгілеңіз.
Товары из Excel	Excel-ден тауарлар
Товары категории	Санат тауарлары
Товары не выбраны	Тауарлар таңдалмаған
Топ-10 за %s	%s үшін Топ-10
Точка не задана — нажмите на карту.	Нүкте белгіленбеген — картаны басыңыз.
Требуется подписка.	Жазылым қажет.
У этого устройства нет Bluetooth. Чеки будут печататься через системный диалог Android.	Бұл құрылғыда Bluetooth жоқ. Чектер Android жүйелік терезесі арқылы басып шығарылады.
Убрать	Алып тастау
Убрать из документа	Құжаттан алып тастау
Убрать клиента	Клиентті алып тастау
Убрать точку	Нүктені алып тастау
Убыток по себестоимости	Өзіндік құн бойынша шығын
Убыток: 	Шығын: 
Уведомления	Хабарламалар
Удалено: %s	Жойылды: %s
Удалить	Жою
Удалить код	Кодты жою
Удалить чек	Чекті жою
Удалить чек %s?	%s чегін жоясыз ба?
Удалён	Жойылды
Уже существующие коды не тронем.	Бұрыннан бар кодтарға тимейміз.
Уйдут сами при появлении связи	Байланыс пайда болғанда өздері жөнеледі
Укажите количество хотя бы по одной позиции	Кемінде бір позиция бойынша санын көрсетіңіз
Укажите количество хотя бы по одному товару	Кемінде бір тауар бойынша санын көрсетіңіз
Укажите количество — здесь появится образец наклейки.	Санын көрсетіңіз — осында жапсырма үлгісі пайда болады.
Укажите сумму	Соманы көрсетіңіз
Укажите цену продажи — по ней товар будет продаваться.	Сату бағасын көрсетіңіз — тауар сол бағамен сатылады.
Укажите, сколько наклеек напечатать	Қанша жапсырма басып шығаратыныңызды көрсетіңіз
Установлена устаревшая версия приложения. Обновите его в Google Play, чтобы продолжить работу.	Қосымшаның ескірген нұсқасы орнатылған. Жұмысты жалғастыру үшін оны Google Play-де жаңартыңыз.
Устройств нет — ключ ещё нигде не активирован.	Құрылғылар жоқ — кілт әлі ешқайда белсендірілмеген.
Устройства	Құрылғылар
Устройство	Құрылғы
Устройство отвязано	Құрылғы ажыратылды
Учёт	Есеп
Учёт, %s	Есеп, %s
Ушло на сервер: 	Серверге жөнелді: 
Факт	Нақты
Фактически	Нақты түрде
Цвет	Түс
Цена	Баға
Цена доставки (0 — бесплатно)	Жеткізу бағасы (0 — тегін)
Цена прихода	Кіріс бағасы
Цена прихода: 	Кіріс бағасы: 
Цена продажи	Сату бағасы
Цены и остаток	Бағалар мен қалдық
Цифры кода под полосками	Жолақтар астындағы код цифрлары
Частично	Ішінара
Частичный возврат	Ішінара қайтару
Чат с командой FonRo	FonRo командасымен чат
Чек	Чек
Чек 	Чек 
Чек #%s	Чек #%s
Чек %s. Позиций: %s. 	Чек %s. Позиция: %s. 
Чек / товары	Чек / тауарлар
Чек вернулся в кассу	Чек кассаға оралды
Чек исчезнет с устройства и на сервер больше не попадёт: продажи в отчётах магазина не будет, а списанный остаток останется списанным. Удаляйте только тот чек, который сервер уже отверг по существу.	Чек құрылғыдан жойылады және серверге бұдан былай түспейді: дүкен есептерінде сатылым болмайды, ал есептен шығарылған қалдық шығарылған күйінде қалады. Тек сервер мәні бойынша қабылдамаған чекті ғана жойыңыз.
Чек не найден. Проверьте номер.	Чек табылмады. Нөмірін тексеріңіз.
Чек отложен — касса свободна	Чек кейінге қалдырылды — касса бос
Чек отправлен на принтер	Чек принтерге жіберілді
Чек пуст	Чек бос
Чек удалён из очереди	Чек кезектен жойылды
Чек уходит на принтер, как только продажа проведена	Сатылым өткізілген бойда чек принтерге жөнеледі
Чек №%s	Чек №%s
Чеки, которые ждут связи	Байланысты күтіп тұрған чектер
Чеки, которые ждут связи с сервером	Сервермен байланысты күтіп тұрған чектер
Чеки, которые не удалось отправить на сервер, хранятся на этом устройстве и уйдут сами, как только появится связь. Продажа уже проведена: остаток списан, чек можно печатать.\n\nПовторная отправка безопасна — сервер узнаёт номер чека и не проводит его дважды.	Серверге жіберу мүмкін болмаған чектер осы құрылғыда сақталады және байланыс пайда болған бойда өздері жөнеледі. Сатылым өткізілген: қалдық есептен шығарылды, чекті басып шығаруға болады.\n\nҚайта жіберу қауіпсіз — сервер чек нөмірін таниды және оны екі рет өткізбейді.
Чеков	Чек
Что за товар	Бұл қандай тауар
Чтобы продолжать проводить приход — выберите тариф.	Кірісті өткізуді жалғастыру үшін — тариф таңдаңыз.
Чтобы продолжать продавать — выберите тариф.	Сатуды жалғастыру үшін — тариф таңдаңыз.
Чтобы прочитать штрихкод, разрешите приложению доступ к камере.	Штрих-кодты оқу үшін қосымшаға камераға қатынауға рұқсат беріңіз.
Чтобы увидеть список принтеров, нужен доступ к устройствам поблизости.	Принтерлер тізімін көру үшін жақын жердегі құрылғыларға қатынау қажет.
Чёрный / 64 GB	Қара / 64 GB
Шаг продажи	Сату қадамы
