 · «%s»: владелец + 	 · «%s»: соҳиб + 
Не вернулись: 	Барнагаштанд: 
Не выбран	Интихоб нашудааст
Не выбран — чек уйдёт в системную печать	Интихоб нашудааст — чек ба чопи системавӣ меравад
Не готово	Тайёр нест
Не отмечено · %s	Қайд нашудааст · %s
Не перенесены: 	Гузаронида нашуданд: 
Не показывать	Нишон надодан
Не удалось записать документ	Ҳуҷҷатро сабт кардан нашуд
Не удалось напечатать чек	Чекро чоп кардан нашуд
Не удалось открыть браузер для оплаты	Браузерро барои пардохт кушодан нашуд
Не удалось открыть звонилку	Барномаи занг заданро кушодан нашуд
Не удалось открыть настройки Bluetooth	Танзимоти Bluetooth-ро кушодан нашуд
Не удалось открыть системную печать	Чопи системавиро кушодан нашуд
Не удалось открыть ссылку	Истинодро кушодан нашуд
Не удалось открыть страницу оплаты	Саҳифаи пардохтро кушодан нашуд
Не удалось подготовить документ	Ҳуҷҷатро тайёр кардан нашуд
Недостача	Камомад
Неизвестная ошибка	Хатои номаълум
Необязательно	Ихтиёрӣ
Непогашенные долги	Қарзҳои пардохтнашуда
Непогашенных долгов за период нет 🎉	Барои давра қарзи пардохтнашуда нест 🎉
Нет в наличии	Мавҷуд нест
Нет данных за период.	Барои давра маълумот нест.
Нет долгов за выбранный период.	Барои давраи интихобшуда қарз нест.
Нет доступа к Bluetooth. Разрешите его в настройках телефона.	Дастрасӣ ба Bluetooth нест. Онро дар танзимоти телефон иҷозат диҳед.
Нет доступа к долгам	Дастрасӣ ба қарзҳо нест
Нет доступа к истории продаж	Дастрасӣ ба таърихи фурӯш нест
Нет доступа к камере. Разрешите её в настройках телефона.	Дастрасӣ ба камера нест. Онро дар танзимоти телефон иҷозат диҳед.
Нет доступа к расходам	Дастрасӣ ба хароҷот нест
Нет доступа к этому разделу	Дастрасӣ ба ин бахш нест
Нет доступа.	Дастрасӣ нест.
Нет права на возвраты	Ҳуқуқи баргардонидан нест
Нет права на изменение товаров	Ҳуқуқи тағйир додани молҳо нест
Нет права на инвентаризацию	Ҳуқуқи инвентаризатсия нест
Нет права на приход	Ҳуқуқи воридот нест
Нет права на расходы	Ҳуқуқи хароҷот нест
Нет соединения с сервером. Проверьте интернет.	Пайваст бо сервер нест. Интернетро санҷед.
Нечего печатать: не выбран ни один товар	Чоп кардан чизе нест: ягон мол интихоб нашудааст
Никого не нашлось	Касе ёфт нашуд
Ничего не найдено	Чизе ёфт нашуд
Ничего не найдено.	Чизе ёфт нашуд.
Ничего не найдено. Проверьте название или штрихкод.	Чизе ёфт нашуд. Ном ё штрих-кодро санҷед.
Ничего не отмечено	Чизе қайд нашудааст
Новая инвентаризация	Инвентаризатсияи нав
Новая категория	Категорияи нав
Новые	Навҳо
Новые заказы	Фармоишҳои нав
Новые заказы с онлайн-витрины	Фармоишҳои нав аз витринаи онлайн
Новый	Нав
Новый возврат	Баргардонидани нав
Новый клиент	Мизоҷи нав
Новый ключ выпущен — передайте его сотруднику	Калиди нав бароварда шуд — онро ба корманд диҳед
Новый код	Коди нав
Новый пароль	Пароли нав
Новый пароль (минимум 6 символов)	Пароли нав (ҳадди ақал 6 аломат)
Новый поставщик	Таъминотчии нав
Новый приход	Воридоти нав
Новый расход	Хароҷоти нав
Новый сотрудник	Корманди нав
Новый товар	Моли нав
Новый штрихкод	Штрих-коди нав
Новых заказов нет	Фармоиши нав нест
Номер накладной	Рақами борхат
Номер чека	Рақами чек
Обновите FonRo	FonRo-ро навсозӣ кунед
Обновить	Навсозӣ
Оборот по приходам	Гардиш аз рӯи воридот
Общий долг	Қарзи умумӣ
Объём	Ҳаҷм
Один ключ доступа работает на ограниченном числе устройств. Отвязка освобождает слот: на отвязанном телефоне вход перестанет работать сразу, а на этом останется как есть.	Як калиди дастрасӣ дар шумораи маҳдуди дастгоҳҳо кор мекунад. Ҷудокунӣ ҷойгаҳро озод мекунад: дар телефони ҷудошуда вуруд фавран кор карданро бас мекунад, дар ин бошад чӣ хеле ҳаст, ҳамон хел мемонад.
Онлайн	Онлайн
Онлайн-магазин	Мағозаи онлайн
Описание для покупателей	Тавсиф барои харидорон
Опишите вопрос или проблему — ответим прямо здесь. Переписку видите только вы и поддержка.	Савол ё мушкилотро тавсиф кунед — маҳз ҳамин ҷо ҷавоб медиҳем. Мукотибаро танҳо шумо ва дастгирӣ мебинед.
Оплат ещё не было	Ҳанӯз пардохт набуд
Оплата	Пардохт
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту и нажмите ещё раз.	Пардохт ҳанӯз тасдиқ нашудааст. Агар навакак пардохт карда бошед — як дақиқа интизор шавед ва боз як бор пахш кунед.
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту.	Пардохт ҳанӯз тасдиқ нашудааст. Агар навакак пардохт карда бошед — як дақиқа интизор шавед.
Оплачен	Пардохт шуд
Оплачено	Пардохт шуд
Оплачено 	Пардохт шуд 
Оплачено поставщику	Ба таъминотчӣ пардохт шуд
Оплачено:	Пардохт шуд:
Основной штрихкод	Штрих-коди асосӣ
Осталось	Мондааст
Останется долг:	Қарз мемонад:
Остаток	Боқимонда
Остаток %s %s	Боқимонда %s %s
Остаток ≤ %s · 	Боқимонда ≤ %s · 
Остаток, шт	Боқимонда, дона
Остаток: %s %s	Боқимонда: %s %s
Ответ на отзыв	Ҷавоб ба тақриз
Ответ покупателю	Ҷавоб ба харидор
Ответ сохранён	Ҷавоб нигоҳ дошта шуд
Ответы службы поддержки	Ҷавобҳои хадамоти дастгирӣ
Отвязать	Ҷудо кардан
Отвязать устройство?	Дастгоҳ ҷудо карда шавад?
Отзывов пока нет	Ҳоло тақриз нест
Отключить принтер	Принтерро хомӯш кардан
Отключён	Хомӯш
Открыт	Кушода
Открытый	Кушода
Открытых долгов нет 🎉	Қарзи кушода нест 🎉
Открыть чек	Чекро кушодан
Отложенная отправка	Фиристодани таъхиршуда
Отложенные чеки	Чекҳои таъхиршуда
Отложенные чеки отправлены	Чекҳои таъхиршуда фиристода шуданд
Отложенных чеков нет	Чеки таъхиршуда нест
Отложить чек	Чекро нигоҳ доштан
Отмена	Бекор
Отменить	Бекор кардан
Отменить заказ	Фармоишро бекор кардан
Отменить заказ?	Фармоишро бекор кардан?
Отменить подписку	Обунаро бекор кардан
Отменить подписку?	Обунаро бекор кардан?
Отменить расход	Хароҷотро бекор кардан
Отменить расход?	Хароҷотро бекор кардан?
Отменить списание	Аз ҳисоб бароварданро бекор кардан
Отменить списание?	Аз ҳисоб бароварданро бекор кардан?
Отменён	Бекоршуда
Отменённые	Бекоршудаҳо
Отметьте «Верно» или внесите фактический остаток.	«Дуруст»-ро қайд кунед ё боқимондаи воқеиро ворид кунед.
Отметьте хотя бы один товар	Ақаллан як молро қайд кунед
Отмечено · %s из %s	Қайдшуда · %s аз %s
Отмечено: 	Қайдшуда: 
Отправить	Фиристодан
Отправить код ещё раз	Кодро дубора фиристодан
Отправить сейчас	Ҳозир фиристодан
Отправка отложенных чеков	Фиристодани чекҳои таъхирёфта
Отправлено: 	Фиристода шуд: 
Отправляем код…	Кодро мефиристем…
Отправляем…	Мефиристем…
Отсканированные товары	Молҳои сканшуда
Оформить подписку	Обуна шудан
Оформление кассы на этом устройстве. На печать чеков и этикеток не влияет.	Намуди зоҳирии кассаи ин дастгоҳ. Ба чопи чекҳо ва этикеткаҳо таъсир намерасонад.
Оформление локальной продажи	Ба расмият даровардани фурӯши маҳаллӣ
Очередь пуста — ни одна продажа не потерялась.	Навбат холӣ — ҳеҷ як фурӯш гум нашуд.
Очистить	Тоза кардан
Очистить чек?	Чекро тоза кардан?
Ошибка	Хато
Ошибка сервера (%s)	Хатои сервер (%s)
Пара слов о магазине	Якчанд сухан дар бораи мағоза
Параметр 1	Параметри 1
Параметр 2	Параметри 2
Пароли не совпадают.	Паролҳо мувофиқат намекунанд.
Пароль	Парол
Пароль (минимум 6 символов)	Парол (ҳадди ақал 6 аломат)
Пароль должен быть минимум 6 символов.	Парол бояд ҳадди ақал 6 аломат бошад.
Пароль обновлён. Войдите с новым паролем.	Парол нав шуд. Бо пароли нав ворид шавед.
Первичная оплата	Пардохти аввалия
Перевыпустить ключ	Калидро аз нав додан
Перенос заказа очистит корзину и положит в неё товары заказа.	Интиқоли фармоиш сабадро тоза мекунад ва молҳои фармоишро ба он мегузорад.
Переносить нечего: этих товаров нет в каталоге или нет на складе	Чизе барои интиқол нест: ин молҳо дар каталог нестанд ё дар анбор нестанд
Печатаем…	Чоп мекунем…
Печатать чек сразу после продажи	Чекро фавран пас аз фурӯш чоп кардан
Печать	Чоп
Печать доступна только при открытом приложении	Чоп танҳо ҳангоми кушода будани барнома дастрас аст
Печать штрихкодов	Чопи штрих-кодҳо
По количеству	Аз рӯи миқдор
По ней считается, сколько знаков влезает в строку чека	Аз рӯи он ҳисоб мешавад, ки ба сатри чек чанд аломат ҷой мешавад
По одной	Яктогӣ
По сумме	Аз рӯи маблағ
По этой позиции возвращать нечего	Аз рӯи ин мавқеъ чизе барои баргардонидан нест
Повторите пароль	Паролро такрор кунед
Повторить	Такрор кардан
Погашение долга	Пардохти қарз
Погашений долга не было.	Пардохти қарз набуд.
Погашено	Пардохта шуд
Подарок от FonRo	Тӯҳфа аз FonRo
Поддержка	Дастгирӣ
Поддержка FonRo	Дастгирии FonRo
Поделитесь ссылкой магазина с покупателями.	Пайванди мағозаро бо харидорон мубодила кунед.
Поделиться ссылкой	Пайвандро мубодила кардан
Подписка активна	Обуна фаъол аст
Подписка активна. Спасибо!	Обуна фаъол аст. Ташаккур!
Подписка возобновлена	Обуна барқарор шуд
Подписка отменена	Обуна бекор карда шуд
Подписка отменена. Доступ — до конца периода.	Обуна бекор карда шуд. Дастрасӣ — то охири давра.
Подпиской магазина распоряжается владелец.	Обунаи мағозаро соҳиб идора мекунад.
Подтвердить	Тасдиқ кардан
Подтверждён	Тасдиқшуда
Подытог	Ҷамъи мобайнӣ
Позиции не переданы сервером.	Мавқеъҳоро сервер нафиристод.
Позиции проверки	Мавқеъҳои санҷиш
Позиции чека	Мавқеъҳои чек
Позиций	Мавқеъҳо
Позиций: %s	Мавқеъҳо: %s
Позиций: %s. Разница %s 	Мавқеъҳо: %s. Фарқият %s 
Поиск	Ҷустуҷӯ
Поиск в каталоге…	Ҷустуҷӯ дар каталог…
Поиск клиента	Ҷустуҷӯи мизоҷ
Поиск по долгам	Ҷустуҷӯ аз рӯи қарзҳо
Поиск по имени или телефону	Ҷустуҷӯ аз рӯи ном ё телефон
Поиск по названию, телефону или заметке	Ҷустуҷӯ аз рӯи ном, телефон ё эзоҳ
Поиск среди выбранных	Ҷустуҷӯ дар байни интихобшудагон
Поиск товара или кода	Ҷустуҷӯи мол ё код
Поиск товара, артикула или кода	Ҷустуҷӯи мол, артикул ё код
Поиск товара, кода или артикула	Ҷустуҷӯи мол, код ё артикул
Поиск товара, штрихкод	Ҷустуҷӯи мол, штрих-код
Пока не получилось. Чеки останутся в очереди и уйдут сами, как только появится связь.	Ҳоло нашуд. Чекҳо дар навбат мемонанд ва ҳамин ки алоқа пайдо шавад, худашон мераванд.
Показаны первые %s из %s — уточните поиск.	Аввалин %s аз %s нишон дода шуд — ҷустуҷӯро аниқ кунед.
Показаны последние %s из %s —	Охирин %s аз %s нишон дода шуд —
Показатели магазина скрыты правами доступа.	Нишондиҳандаҳои мағоза бо ҳуқуқи дастрасӣ пинҳон карда шудаанд.
Показать	Нишон додан
Показать ещё (%s)	Боз нишон додан (%s)
Показать товары категории	Молҳои категорияро нишон додан
Покупатели смогут оставлять отзывы на витрине.	Харидорон метавонанд дар витрина шарҳ гузоранд.
Покупатели увидят все цены на витрине в этой валюте.	Харидорон ҳамаи нархҳоро дар витрина бо ин асъор мебинанд.
Покупатели увидят это на странице «О магазине» витрины вместе с адресом, телефоном и отзывами.	Харидорон инро дар саҳифаи «Дар бораи мағоза»-и витрина ҳамроҳи суроға, телефон ва шарҳҳо мебинанд.
Покупатель	Харидор
Покупатель увидит отмену заказа %s. 	Харидор бекор шудани фармоиши %s-ро мебинад. 
Покупки в долг	Харидҳо ба қарз
Покупок у этого клиента ещё не было.	Ин мизоҷ ҳанӯз харид накардааст.
Политика конфиденциальности	Сиёсати махфият
Полный возврат	Баргардонидани пурра
Полный доступ	Дастрасии пурра
Получено	Гирифта шуд
Получено долгов	Қарзҳои гирифташуда
Получено меньше суммы чека	Камтар аз маблағи чек гирифта шуд
Получено наличными	Бо нақд гирифта шуд
Получено:	Гирифта шуд:
Получить код	Код гирифтан
Порог «мало на складе»	Ҳадди «дар анбор кам»
Порог сохранён: %s шт	Ҳад нигоҳ дошта шуд: %s дона
Порча, бой, просрочка — товар уходит со склада	Вайроншавӣ, шикастан, гузаштани мӯҳлат — мол аз анбор мебарояд
После создания сотрудник получит ключ доступа — по нему он войдёт в приложение на своём телефоне.	Пас аз сохтан корманд калиди дастрасӣ мегирад — бо он ба барнома дар телефони худ ворид мешавад.
Поставщик	Таъминотчӣ
Поставщик добавлен	Таъминотчӣ илова шуд
Поставщик:	Таъминотчӣ:
Поставщики	Таъминотчиён
Поставщики и оборот по приходам	Таъминотчиён ва гардиш аз рӯи воридот
Поставщиков	Таъминотчиён
Поставщиков в справочнике	Таъминотчиён дар маълумотнома
Поставщиков нет — добавьте их в разделе «Поставщики».	Таъминотчиён нестанд — онҳоро дар бахши «Таъминотчиён» илова кунед.
Поставщиков пока нет — добавьте первого.	Ҳоло таъминотчиён нестанд — аввалинро илова кунед.
Почему чек здесь	Чаро чек дар ин ҷост
Прав выдано	Ҳуқуқҳои додашуда
Права доступа	Ҳуқуқи дастрасӣ
Права не выданы.	Ҳуқуқҳо дода нашудаанд.
Права обновлены	Ҳуқуқҳо нав шуданд
Правовая информация	Маълумоти ҳуқуқӣ
Премиум активен. Спасибо!	Премиум фаъол аст. Ташаккур!
Прибыль	Фоида
Прибыль %s	Фоида %s
Прибыль по дням	Фоида аз рӯи рӯзҳо
Прибыль по часам	Фоида аз рӯи соатҳо
Прибыль после расходов	Фоида пас аз хароҷот
Приложение	Барнома
Применить	Татбиқ кардан
Принимаем…	Қабул мекунем…
Принтер	Принтер
Принтер «%s» выбран	Принтери «%s» интихоб шуд
Принтер выбран неверно. Выберите его заново.	Принтер нодуруст интихоб шудааст. Онро аз нав интихоб кунед.
Принтер не отвечает. Проверьте, включён ли он и рядом ли.	Принтер ҷавоб намедиҳад. Санҷед, ки он фаъол ва наздик бошад.
Принтер отключён. Чеки пойдут в системную печать.	Принтер хомӯш карда шуд. Чекҳо ба чопи системавӣ мераванд.
Принтер чеков	Принтери чекҳо
Принял	Қабул кард
Принял: %s	Қабул кард: %s
Принято. Остаток: %s	Қабул шуд. Боқимонда: %s
Принято: %s	Қабул шуд: %s
Принять	Қабул кардан
Принять:	Қабул кардан:
Приход	Воридот
Приход · 	Воридот · 
Приход без привязки к контрагенту	Воридот бе пайваст ба контрагент
Приход доступен сотрудникам с правом «Приход».	Воридот ба кормандони дорои ҳуқуқи «Воридот» дастрас аст.
Приход не проведён	Воридот гузаронида нашуд
Приход недоступен	Воридот дастрас нест
Приход проведён	Воридот гузаронида шуд
Приходов	Воридот
Приходов от этого поставщика ещё не было.	Аз ин таъминотчӣ ҳанӯз воридот набуд.
Приходов по этому товару нет.	Аз рӯи ин мол воридот нест.
Приходов пока нет.	Ҳоло воридот нест.
Приходы от поставщика	Воридот аз таъминотчӣ
Причина	Сабаб
Причина списания	Сабаби аз ҳисоб баровардан
Причина: %s	Сабаб: %s
Причину он тоже прочитает — напишите её понятно.	Сабабро низ ӯ мехонад — онро фаҳмо нависед.
Пробная печать	Чопи озмоишӣ
Проверил	Санҷид
Проверка	Санҷиш
Проверок	Санҷишҳо
Проверьте соединение и обновите.	Пайвастро санҷед ва навсозӣ кунед.
Проверяем…	Месанҷем…
Провести	Гузаронидан
Провести · %s	Гузаронидан · %s
Провести возврат?	Баргардонидан гузаронида шавад?
Провести инвентаризацию?	Инвентаризатсия гузаронида шавад?
Проводим…	Мегузаронем…
Провёл: %s	Гузаронид: %s
Продаж	Фурӯш
Продаж за период нет	Дар ин давра фурӯш нест
Продаж за период нет.	Дар ин давра фурӯш нест.
Продаж нет · %s	Фурӯш нест · %s
Продажа	Фурӯш
Продажа недоступна	Фурӯш дастрас нест
Продажа проведена · %s	Фурӯш гузаронида шуд · %s
Продажи	Фурӯшҳо
Продажи в долг	Фурӯш ба қарз
Продажи за 7 дней	Фурӯш дар 7 рӯз
Продажи по дням	Фурӯш аз рӯи рӯзҳо
Продажи по часам	Фурӯш аз рӯи соатҳо
Продажи, количество	Фурӯш, миқдор
Продажи, сумма	Фурӯш, маблағ
Продал: %s	Фурӯхт: %s
Проданные товары	Молҳои фурӯхташуда
Проданные чеки	Чекҳои фурӯхташуда
Проданный чек	Чеки фурӯхташуда
Продано	Фурӯхта шуд
Продаёте дешевле закупки — проверьте цены.	Арзонтар аз нархи харид мефурӯшед — нархҳоро санҷед.
Продолжить · %s	Идома додан · %s
Промокод (если есть)	Промокод (агар бошад)
Промокод не найден	Промокод ёфт нашуд
Промокод применён: −%s%%	Промокод татбиқ шуд: −%s%%
Процент	Фоиз
Пустой ответ сервера	Ҷавоби холии сервер
Радиус бесплатной доставки, км (0 — выключено)	Радиуси расонидани ройгон, км (0 — хомӯш)
Размер наклейки	Андозаи стикер
Размер наклейки:	Андозаи стикер:
Размер подписей во всём приложении на этом устройстве. На печать чеков и этикеток не влияет.	Андозаи навиштаҷот дар тамоми барнома дар ин дастгоҳ. Ба чопи чекҳо ва этикеткаҳо таъсир намерасонад.
Размер текста	Андозаи матн
Размер чека	Андозаи чек
Размер чека: %s мм	Андозаи чек: %s мм
Разница	Фарқият
Разница, сумма	Фарқият, маблағ
Разница, шт	Фарқият, дона
Разница: 	Фарқият: 
Разрешить доступ	Дастрасӣ додан
Разрешить камеру	Ба камера иҷозат додан
Распечатать чек	Чекро чоп кардан
Расход	Хароҷот
Расход записан	Хароҷот сабт шуд
Расход изменён	Хароҷот тағйир ёфт
Расход отменён	Хароҷот бекор карда шуд
Расходов нет	Хароҷот нест
Расходы	Хароҷот
Расходы за период	Хароҷот дар ин давра
Расхождений нет.	Тафовутҳо нестанд.
Расхождения	Тафовутҳо
Регистрация	Бақайдгирӣ
Роль	Нақш
Рулон	Рулон
Сводка	Хулоса
Сводка %s	Хулосаи %s
Сдача	Бақия
Сдача:	Бақия:
Сдача: %s	Бақия: %s
Себестоимость	Арзиши аслӣ
Сегодня	Имрӯз
Сейчас: 	Ҳозир: 
Сервер временно недоступен. Попробуйте ещё раз.	Сервер муваққатан дастнорас аст. Боз як бор кӯшиш кунед.
Сервер не вернул клиента	Сервер мизоҷро барнагардонд
Сервер не вернул сохранённый товар	Сервер моли нигоҳдошташударо барнагардонд
Сервер не отвечает. Попробуйте ещё раз.	Сервер ҷавоб намедиҳад. Боз як бор кӯшиш кунед.
Сервер отклонил документ	Сервер ҳуҷҷатро рад кард
Сервер применит расхождения к остаткам склада.	Сервер тафовутҳоро ба боқимондаҳои анбор татбиқ мекунад.
Сессия истекла. Войдите заново.	Сессия ба охир расид. Аз нав ворид шавед.
Сети нет — чек сохранён и уйдёт на сервер сам, как только связь появится.	Шабака нест — чек нигоҳ дошта шуд ва ҳамин ки алоқа пайдо шавад, худаш ба сервер меравад.
Система	Система
Сканирование	Сканкунӣ
Сканировать	Скан кардан
Сканировать QR чека	QR-и чекро скан кардан
Сканировать заново	Аз нав скан кардан
Сканировать код	Кодро скан кардан
Сканировать штрихкод	Штрих-кодро скан кардан
Скидка	Тахфиф
Скидка · %s	Тахфиф · %s
Скидка на позицию	Тахфиф ба мавқеъ
Скидка на чек	Тахфиф ба чек
Скидка применится на странице оплаты	Тахфиф дар саҳифаи пардохт татбиқ мешавад
Скидка, %	Тахфиф, %
Скидка, %:	Тахфиф, %:
Скидка, сумма	Тахфиф, маблағ
Скидка, сумма:	Тахфиф, маблағ:
Сколько наклеек: %s	Чанд стикер: %s
Скоро истекает срок	Мӯҳлат ба зудӣ ба охир мерасад
Скрыто	Пинҳоншуда
Скрыты из продажи	Аз фурӯш пинҳон карда шуданд
Смешанно	Омехта
Смотреть все продажи и товары	Ҳамаи фурӯш ва молҳоро дидан
Снять	Интихобро бекор кардан
Создан	Сохта шуд
Создать	Сохтан
Создать категорию	Категория сохтан
Состав документа	Таркиби ҳуҷҷат
Состав заказа · %s	Таркиби фармоиш · %s
Состав чека сервер не прислал	Таркиби чекро сервер нафиристод
Сотрудник	Корманд
Сотрудник · ключ	Корманд · калид
Сотрудник создан	Корманд сохта шуд
Сотрудники	Кормандон
Сотрудников пока нет. Добавьте первого кнопкой выше.	Ҳоло кормандон нестанд. Аввалинро бо тугмаи боло илова кунед.
Сохранено	Нигоҳ дошта шуд
Сохранить	Нигоҳ доштан
Сохранить изменения	Тағйиротро нигоҳ доштан
Сохранить пароль	Паролро нигоҳ доштан
Сохранить приход	Воридотро нигоҳ доштан
Сохраняем…	Нигоҳ медорем…
Спаренных устройств нет. Включите принтер и сопрягите его в настройках Bluetooth — потом вернитесь сюда.	Дастгоҳҳои ҷуфтшуда нестанд. Принтерро фаъол кунед ва онро дар танзимоти Bluetooth ҷуфт кунед — баъд ба ин ҷо баргардед.
Спасибо за отзыв!	Барои шарҳ ташаккур!
Списание	Аз ҳисоб баровардан
Списание отменено, товар вернулся на склад	Аз ҳисоб баровардан бекор карда шуд, мол ба анбор баргашт
Списание появится после обновления серверной части.	Аз ҳисоб баровардан пас аз навсозии қисми сервер пайдо мешавад.
Списание товара	Аз ҳисоб баровардани мол
Списаний за период не было	Дар ин давра аз ҳисоб баровардан набуд
Списано единиц	Воҳидҳои аз ҳисоб баровардашуда
Списать	Аз ҳисоб баровардан
Список	Рӯйхат
Список клиентов	Рӯйхати мизоҷон
Список поставщиков	Рӯйхати таъминотчиён
Список пуст. Наведите камеру на штрихкод.	Рӯйхат холӣ. Камераро ба штрих-код нигаронед.
Список сотрудников не загрузился. Проверьте соединение.	Рӯйхати кормандон бор нашуд. Пайвастро санҷед.
Список устройств не загрузился. Проверьте соединение.	Рӯйхати дастгоҳҳо бор нашуд. Пайвастро санҷед.
Способ получения	Тарзи гирифтан
Справочник	Маълумотнома
Справочник ещё не загружен — закрытия долгов приедут вместе с ним.	Маълумотнома ҳанӯз бор нашуд — пӯшидани қарзҳо ҳамроҳи он меояд.
Среднее	Миёна
Средний	Миёна
Средний чек	Чеки миёна
Срок годности	Мӯҳлати истифода
Срок годности вышел	Мӯҳлати истифода гузашт
Срок годности: не указан	Мӯҳлати истифода: нишон дода нашудааст
Ссылка магазина	Пайванди мағоза
Ссылка на оплату ещё не настроена. Напишите в поддержку.	Пайванди пардохт ҳанӯз танзим нашудааст. Ба дастгирӣ нависед.
Ссылка на оплату ещё не настроена. Обратитесь в поддержку.	Пайванди пардохт ҳанӯз танзим нашудааст. Ба дастгирӣ муроҷиат кунед.
Старый ключ «%s» перестанет работать немедленно, 	Калиди кӯҳнаи «%s» фавран кор карданро бас мекунад, 
Старый ключ перестанет работать сразу: сотрудник останется без входа, пока не получит новый.	Калиди кӯҳна фавран кор карданро бас мекунад: корманд то гирифтани нав бе даромад мемонад.
Стат	Стат
Статистика	Омор
Статус	Ҳолат
Статус: в долге	Ҳолат: дар қарз
Статус: оплачено %s из %s	Ҳолат: пардохт шуд %s аз %s
Стоимость	Арзиш
Стоимость склада по закупке	Арзиши анбор аз рӯи нархи харид
Стоимость склада по продаже	Арзиши анбор аз рӯи нархи фурӯш
Строк	Сатрҳо
Сумма	Маблағ
Сумма возврата	Маблағи баргардонидан
Сумма возвратов	Маблағи умумии баргардонидан
Сумма закупки	Маблағи харид
Сумма оплаты (долг %s)	Маблағи пардохт (қарз %s)
Сумма по всем непогашенным чекам	Маблағ аз рӯи ҳамаи чекҳои напардохта
Сумма прихода	Маблағи воридот
Сумма приходов	Маблағи умумии воридот
Сумма продажи	Маблағи фурӯш
Сумма расхода	Маблағи хароҷот
Сумма расхождения: 	Маблағи тафовут: 
Сумма склада	Маблағи анбор
Сумма чека	Маблағи чек
Сумма:	Маблағ:
Сумма: 	Маблағ: 
Суммы без буквенного кода	Маблағҳо бе коди ҳарфӣ
Так будет выглядеть текст в приложении.	Матн дар барнома чунин намуд хоҳад дошт.
Такой код уже есть	Чунин код аллакай мавҷуд аст
Тариф ограничивает только число сотрудников в веб-версии. Товары, статистика, долги, клиенты и другие разделы работают без ограничений.	Тариф танҳо шумораи кормандонро дар версияи веб маҳдуд мекунад. Молҳо, омор, қарзҳо, мизоҷон ва дигар бахшҳо бе маҳдудият кор мекунанд.
Тариф ограничивает только число сотрудников. Товары, статистика и остальные разделы — без ограничений.	Тариф танҳо шумораи кормандонро маҳдуд мекунад. Молҳо, омор ва дигар бахшҳо — бе маҳдудият.
Текущие категории магазина	Категорияҳои ҷории мағоза
Телефон	Телефон
Телефон (необязательно)	Телефон (ихтиёрӣ)
Телефон не указан	Телефон нишон дода нашудааст
Тема оформления	Мавзӯи тарҳ
Товар	Мол
Товар #%s	Мол #%s
Товар в архиве	Мол дар бойгонӣ
Товар вернулся в продажу	Мол ба фурӯш баргашт
Товар вернётся на склад, документ останется в истории с пометкой «отменён». Отменить можно только в день списания.	Мол ба анбор бармегардад, ҳуҷҷат дар таърих бо қайди «бекоршуда» мемонад. Бекор кардан танҳо дар рӯзи аз ҳисоб баровардан мумкин аст.
Товар вернётся на склад.	Мол ба анбор бармегардад.
Товар заканчивается	Мол тамом шуда истодааст
Товар с кодом %s не найден	Моли дорои коди %s ёфт нашуд
Товар с таким кодом не найден	Моли дорои чунин код ёфт нашуд
Товар создан	Мол сохта шуд
Товар создан, приход проведён	Мол сохта шуд, воридот гузаронида шуд
Товар сохранён, но приход не прошёл: 	Мол нигоҳ дошта шуд, аммо воридот нагузашт: 
Товар списан, склад уменьшен	Мол аз ҳисоб бароварда шуд, анбор кам шуд
Товар уже в списке	Мол аллакай дар рӯйхат аст
Товар №%s	Мол №%s
Товаров	Молҳо
Товаров без кода: %s. Каждому присвоим внутренний EAN-13. 	Молҳои бе код: %s. Ба ҳар яке EAN-13-и дохилӣ медиҳем. 
Товаров в документе нет. Добавьте их поиском или сканером.	Дар ҳуҷҷат мол нест. Онҳоро бо ҷустуҷӯ ё сканер илова кунед.
Товаров нет.	Мол нест.
Товаров нет. Добавьте их во вкладке «Товары».	Мол нест. Онҳоро дар варақаи «Молҳо» илова кунед.
Товары	Молҳо
Товары без штрихкода: %s	Молҳои бе штрих-код: %s
Товары в чеке	Молҳо дар чек
Товары ещё не выбраны. Нажмите «Добавить товары» и отметьте всё, что стоит на полке.	Молҳо ҳанӯз интихоб нашудаанд. «Илова кардани молҳо»-ро пахш кунед ва ҳар чизеро, ки дар раф ҳаст, қайд кунед.
Товары из Excel	Молҳо аз Excel
Товары категории	Молҳои категория
Товары не выбраны	Молҳо интихоб нашудаанд
Топ-10 за %s	Топ-10 барои %s
Точка не задана — нажмите на карту.	Нуқта муайян нашуд — ба харита пахш кунед.
Требуется подписка.	Обуна лозим аст.
У этого устройства нет Bluetooth. Чеки будут печататься через системный диалог Android.	Ин дастгоҳ Bluetooth надорад. Чекҳо тавассути диалоги системавии Android чоп мешаванд.
Убрать	Хориҷ кардан
Убрать из документа	Аз ҳуҷҷат хориҷ кардан
Убрать клиента	Мизоҷро хориҷ кардан
Убрать точку	Нуқтаро хориҷ кардан
Убыток по себестоимости	Зарар аз рӯи арзиши аслӣ
Убыток: 	Зарар: 
Уведомления	Огоҳиномаҳо
Удалено: %s	Нест карда шуд: %s
Удалить	Нест кардан
Удалить код	Кодро нест кардан
Удалить чек	Чекро нест кардан
Удалить чек %s?	Чеки %s нест карда шавад?
Удалён	Нест карда шуд
